serial_interval;delay_distr
0,000000;0,000055
0,000000;0,000461
0,000000;0,000385
0,000000;0,000003
0,000000;0,000268
0,000000;0,000223
0,000000;0,000186
0,000000;0,000016
0,000000;0,000013
0,000000;0,000108
0,000000;0,000009
0,000000;0,000008
0,000000;0,000063
0,000000;0,000005
0,000000;0,000000
0,000000;0,000036
0,000000;0,000030
0,000000;0,000025
0,000000;0,000021
0,000000;0,000018
0,000000;0,000015
0,000000;0,000012
0,000000;0,000010
0,000000;0,000000
0,000000;0,000001
0,000000;0,000000
0,000000;0,000000
0,000000;0,000004
0,000000;0,000003
0,000000;0,000003
0,000000;0,000002
0,000000;0,000000
0,000000;0,000002
0,000000;0,000001
0,000000;0,000001
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
0,000000;0,000000
