"date","hospit","serial_interval","delay_distr"
2020-04-02,72,3.016132347211098e-7,0.00028339879203561876
2020-04-03,72,2.0922003829415559e-7,0.00023831803997676894
2020-04-04,43,1.4502431211482758e-7,0.0002003340744836532
2020-04-05,35,1.0045603160424577e-7,0.00016834560109869168
2020-04-06,50,6.953782660801267e-8,0.0001414187801319824
2020-04-07,56,4.8104709549079416e-8,0.00011876252190403624
2020-04-08,28,3.325724706737532e-8,9.97072572165579e-5
2020-04-09,34,2.2978803970730155e-8,8.368673316765309e-5
2020-04-10,33,1.586794196040131e-8,7.022243330761449e-5
2020-04-11,31,1.0951533901959465e-8,5.891026712973045e-5
2020-04-12,27,7.554384340302533e-9,4.940921642982966e-5
2020-04-13,30,5.208361630870684e-9,4.14316648958782e-5
2020-04-14,44,3.5891272176513667e-9,3.473517218325392e-5
2020-04-15,30,2.472119953189633e-9,2.9115485459320023e-5
2020-04-16,33,1.7019634590553778e-9,2.4400608524682284e-5
2020-04-17,27,1.1712171232858282e-9,2.0445773872280315e-5
2020-04-18,27,8.056335598638498e-10,1.712918413843773e-5
2020-04-19,33,5.53932122393519e-10,1.434840836666024e-5
2020-04-20,33,3.807150150691996e-10,1.2017334850650905e-5
2020-04-21,38,2.615613281520268e-10,1.0063596514223677e-5
2020-04-22,29,1.7963142084909123e-10,8.42639705108905e-6
2020-04-23,32,1.2331924370556635e-10,7.054676618936906e-6
2020-04-24,22,8.46301917434289e-11,5.905564971295188e-6
2020-04-25,27,5.8058780005865174e-11,4.943077707879343e-6
2020-04-26,26,3.9816705488249227e-11,4.137017999847038e-6
2020-04-27,21,2.729727555106365e-11,3.462051851563345e-6
2020-04-28,15,1.8708479210260975e-11,2.896929828297915e-6
2020-04-29,15,1.2817968908507282e-11,2.423832327312186e-6
2020-04-30,16,8.779532656433275e-12,2.0278189920628513e-6
2020-05-01,16,6.011635633740298e-12,1.696365886689328e-6
2020-05-02,24,4.115263685378068e-12,1.4189765599311527e-6
2020-05-03,16,2.8163027465666346e-12,1.186855319601558e-6
2020-05-04,14,1.926792059236959e-12,9.926328454415605e-7
2020-05-05,16,1.3179457525325233e-12,8.301358225802326e-7
2020-05-06,6,9.011680290882396e-13,6.941935850125353e-7
2020-05-07,15,6.161737786669619e-13,5.804758640287205e-7
2020-05-08,9,4.211075932403219e-13,4.853566700675756e-7
2020-05-09,10,2.8765878568037806e-13,4.058001242650328e-7
2020-05-10,10,1.9662049766111522e-13,3.392647203827503e-7
2020-05-11,8,1.3422596367718143e-13,2.8362305786552793e-7
2020-05-12,8,9.170442183403793e-14,2.3709455840343346e-7
2020-05-13,6,6.261657858885883e-14,1.9818907627382337e-7
2020-05-14,13,4.263256414560601e-14,1.656596460691091e-7
2020-05-15,17,2.919886554764162e-14,1.3846289389315336e-7
2020-05-16,5,1.9872992140790302e-14,1.157258740143043e-7
2020-05-17,4,1.354472090042691e-14,9.671829189336057e-8
2020-05-18,14,9.325873406851315e-15,8.082924236197512e-8
2020-05-19,7,6.217248937900877e-15,6.754773090694446e-8
2020-05-20,7,4.3298697960381105e-15,5.6446365247901644e-8
2020-05-21,6,2.9976021664879227e-15,4.7167702641500754e-8
2020-05-22,13,1.9984014443252818e-15,3.941282170710557e-8
2020-05-23,9,1.3322676295501878e-15,3.293175739849106e-8
2020-05-24,2,8.881784197001252e-16,2.7515496076365355e-8
2020-05-25,6,6.661338147750939e-16,2.2989276938408198e-8
2020-05-26,11,4.440892098500626e-16,1.920698709813563e-8
2020-05-27,7,2.220446049250313e-16,1.6046472171132877e-8
2020-05-28,5,2.220446049250313e-16,1.340561315670121e-8
2020-05-29,9,1.1102230246251565e-16,1.1199044656374734e-8
2020-05-30,7,1.1102230246251565e-16,9.35540979523155e-9
2020-05-31,4,1.1102230246251565e-16,7.815064244807388e-9
2020-06-01,5,0.0,6.528155986539202e-9
2020-06-02,6,0.0,5.453019485073745e-9
2020-06-03,3,1.1102230246251565e-16,4.554832809571629e-9
2020-06-04,5,0.0,3.804494766000965e-9
2020-06-05,9,0.0,3.177686030764436e-9
2020-06-06,2,0.0,2.654084181863285e-9
2020-06-07,4,0.0,2.2167074369521365e-9
2020-06-08,4,0.0,1.851366023912941e-9
2020-06-09,1,0.0,1.5462035546236369e-9
2020-06-10,1,0.0,1.2913136555941748e-9
2020-06-11,1,0.0,1.0784195215644149e-9
2020-06-12,6,0.0,9.006060766366905e-10
2020-06-13,4,0.0,7.5209611655072e-10
2020-06-14,1,0.0,6.280632161830096e-10
2020-06-15,2,0.0,5.244753750763409e-10
2020-06-16,6,0.0,4.379643502299294e-10
2020-06-17,5,0.0,3.657164645744254e-10
2020-06-18,2,0.0,3.0538136319971126e-10
2020-06-19,4,0.0,2.5499577029965964e-10
2020-06-20,4,0.0,2.1291978290033925e-10
2020-06-21,4,0.0,1.7778364172719948e-10
2020-06-22,5,0.0,1.4844325760004705e-10
2020-06-23,4,0.0,1.239430543645632e-10
2020-06-24,6,0.0,1.0348492564690842e-10
2020-06-25,5,0.0,8.640230027638776e-11
2020-06-26,1,0.0,7.213847609411368e-11
2020-06-27,4,0.0,6.022852065138331e-11
2020-06-28,6,0.0,5.0284151355087193e-11
2020-06-29,3,0.0,4.198110540844315e-11
2020-06-30,0,0.0,3.504858964002289e-11
2020-07-01,2,0.0,2.9260467965050155e-11
2020-07-02,4,0.0,2.4427900470441773e-11
2020-07-03,1,0.0,2.039319515713484e-11
2020-07-04,0,0.0,1.7024672684303488e-11
2020-07-05,2,0.0,1.4212377309448418e-11
2020-07-06,2,0.0,1.186449466719575e-11
2020-07-07,2,0.0,9.904359968709576e-12
2020-07-08,1,0.0,8.26795934056462e-12
2020-07-09,3,0.0,6.901843115461772e-12
2020-07-10,3,0.0,5.761383122642151e-12
2020-07-11,5,0.0,4.809317349018477e-12
2020-07-12,0,0.0,4.0145345874784215e-12
2020-07-13,0,0.0,3.351059520829378e-12
2020-07-14,3,0.0,2.797205201370569e-12
2020-07-15,3,0.0,2.3348653295348936e-12
2020-07-16,1,0.0,1.948923282203789e-12
2020-07-17,3,0.0,1.6267586396444232e-12
2020-07-18,2,0.0,1.3578351327831815e-12
2020-07-19,2,0.0,1.1333565830701225e-12
2020-07-20,3,0.0,9.459796179305503e-13
2020-07-21,2,0.0,7.895738024217676e-13
2020-07-22,4,0.0,6.590213568137683e-13
2020-07-23,1,0.0,5.500499352073684e-13
2020-07-24,2,0.0,4.590930077068085e-13
2020-07-25,5,0.0,3.8317329166256803e-13
2020-07-26,2,0.0,3.198054283072791e-13
2020-07-27,3,0.0,2.6691472855314834e-13
2020-07-28,2,0.0,2.227693357095393e-13
2020-07-29,6,0.0,1.8592359046388513e-13
2020-07-30,5,0.0,1.5517074890324223e-13
2020-07-31,3,0.0,1.295035094336279e-13
2020-08-01,4,0.0,1.0808105936750099e-13
2020-08-02,2,0.0,9.020156486878542e-14
2020-08-03,7,0.0,7.52792050142043e-14
2020-08-04,5,0.0,6.282499995775325e-14
2020-08-05,7,0.0,5.243080643233968e-14
2020-08-06,3,0.0,4.3755957507355876e-14
2020-08-07,5,0.0,3.6516109851037e-14
2020-08-08,3,0.0,3.0473933860974045e-14
2020-08-09,2,0.0,2.5431342239983898e-14
2020-08-10,4,0.0,2.122300284965478e-14
2020-08-11,3,0.0,1.7710923702358854e-14
2020-08-12,3,0.0,1.4779932902467393e-14
2020-08-13,3,0.0,1.2333905680428733e-14
2020-08-14,5,0.0,1.0292615113617433e-14
2020-08-15,2,0.0,8.589103390345438e-15
2020-08-16,5,0.0,7.167487653907735e-15
2020-08-17,8,0.0,5.9811285795107056e-15
2020-08-18,1,0.0,4.991101736469023e-15
2020-08-19,5,0.0,4.1649216892781216e-15
2020-08-20,7,0.0,3.4754770609613887e-15
2020-08-21,5,0.0,2.9001416857568686e-15
2020-08-22,3,0.0,2.420032741353025e-15
2020-08-23,4,0.0,2.019391561870213e-15
2020-08-24,2,0.0,1.685066848875849e-15
2020-08-25,3,0.0,1.4060833502157059e-15
2020-08-26,6,0.0,1.173281874957397e-15
2020-08-27,1,0.0,9.790188487916845e-16
2020-08-28,4,0.0,8.169155642241882e-16
