"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser"
Hovedstaden;2021-03-10;F;112;1;6;2391;216139;12744
Midtjylland;2021-03-10;F;40;0;1;2391;216179;12745
Nordjylland;2021-03-10;F;8;0;0;2391;216187;12745
Sjælland;2021-03-10;F;27;0;2;2391;216214;12747
Syddanmark;2021-03-10;F;84;0;5;2391;216298;12752
Hovedstaden;2021-03-10;M;99;0;3;2391;216397;12755
Midtjylland;2021-03-10;M;39;0;2;2391;216436;12757
Nordjylland;2021-03-10;M;16;0;0;2391;216452;12757
Sjælland;2021-03-10;M;31;0;1;2391;216483;12758
Syddanmark;2021-03-10;M;81;0;4;2391;216564;12762
Hovedstaden;2021-03-11;F;135;0;7;2391;216699;12769
Midtjylland;2021-03-11;F;33;0;2;2391;216732;12771
Nordjylland;2021-03-11;F;16;1;2;2392;216748;12773
Sjælland;2021-03-11;F;36;1;1;2393;216784;12774
Syddanmark;2021-03-11;F;75;0;4;2393;216859;12778
Hovedstaden;2021-03-11;M;113;0;5;2393;216972;12783
Midtjylland;2021-03-11;M;36;0;2;2393;217008;12785
Nordjylland;2021-03-11;M;18;0;0;2393;217026;12785
Sjælland;2021-03-11;M;46;0;2;2393;217072;12787
Syddanmark;2021-03-11;M;72;0;3;2393;217144;12790
Hovedstaden;2021-03-12;F;109;0;2;2393;217253;12792
Midtjylland;2021-03-12;F;34;0;2;2393;217287;12794
Nordjylland;2021-03-12;F;13;0;0;2393;217300;12794
Sjælland;2021-03-12;F;31;0;2;2393;217331;12796
Syddanmark;2021-03-12;F;64;0;5;2393;217395;12801
Hovedstaden;2021-03-12;M;106;0;4;2393;217501;12805
Midtjylland;2021-03-12;M;27;0;2;2393;217528;12807
Nordjylland;2021-03-12;M;7;0;0;2393;217535;12807
Sjælland;2021-03-12;M;31;0;3;2393;217566;12810
Syddanmark;2021-03-12;M;57;0;2;2393;217623;12812
Hovedstaden;2021-03-13;F;85;0;5;2393;217708;12817
Midtjylland;2021-03-13;F;35;0;0;2393;217743;12817
Nordjylland;2021-03-13;F;10;0;0;2393;217753;12817
Sjælland;2021-03-13;F;24;0;2;2393;217777;12819
Syddanmark;2021-03-13;F;69;0;4;2393;217846;12823
Hovedstaden;2021-03-13;M;107;0;10;2393;217953;12833
Midtjylland;2021-03-13;M;25;0;1;2393;217978;12834
Nordjylland;2021-03-13;M;13;0;1;2393;217991;12835
Sjælland;2021-03-13;M;23;0;1;2393;218014;12836
Syddanmark;2021-03-13;M;70;0;2;2393;218084;12838
Hovedstaden;2021-03-14;F;94;0;6;2393;218178;12844
Midtjylland;2021-03-14;F;33;0;0;2393;218211;12844
Nordjylland;2021-03-14;F;13;0;0;2393;218224;12844
Sjælland;2021-03-14;F;25;0;1;2393;218249;12845
Syddanmark;2021-03-14;F;65;1;5;2394;218314;12850
Hovedstaden;2021-03-14;M;122;1;6;2395;218436;12856
Midtjylland;2021-03-14;M;36;0;0;2395;218472;12856
Nordjylland;2021-03-14;M;10;0;0;2395;218482;12856
Sjælland;2021-03-14;M;22;0;0;2395;218504;12856
Syddanmark;2021-03-14;M;66;0;1;2395;218570;12857
Hovedstaden;2021-03-15;F;122;0;5;2395;218692;12862
Midtjylland;2021-03-15;F;44;0;5;2395;218736;12867
Nordjylland;2021-03-15;F;13;0;0;2395;218749;12867
Sjælland;2021-03-15;F;41;1;2;2396;218790;12869
Syddanmark;2021-03-15;F;102;0;3;2396;218892;12872
Hovedstaden;2021-03-15;M;133;2;12;2398;219025;12884
Midtjylland;2021-03-15;M;38;0;2;2398;219063;12886
Nordjylland;2021-03-15;M;15;0;0;2398;219078;12886
Sjælland;2021-03-15;M;38;1;3;2399;219116;12889
Syddanmark;2021-03-15;M;88;1;6;2400;219204;12895
Hovedstaden;2021-03-16;F;121;1;8;2401;219325;12903
Midtjylland;2021-03-16;F;45;0;3;2401;219370;12906
Nordjylland;2021-03-16;F;22;0;0;2401;219392;12906
Sjælland;2021-03-16;F;41;0;3;2401;219433;12909
Syddanmark;2021-03-16;F;102;0;2;2401;219535;12911
Hovedstaden;2021-03-16;M;153;1;9;2402;219688;12920
Midtjylland;2021-03-16;M;79;0;3;2402;219767;12923
Nordjylland;2021-03-16;M;27;0;3;2402;219794;12926
Sjælland;2021-03-16;M;51;0;3;2402;219845;12929
Syddanmark;2021-03-16;M;99;0;7;2402;219944;12936
Hovedstaden;2021-03-17;F;122;0;4;2402;220066;12940
Midtjylland;2021-03-17;F;42;0;2;2402;220108;12942
Nordjylland;2021-03-17;F;17;0;0;2402;220125;12942
Sjælland;2021-03-17;F;43;0;0;2402;220168;12942
Syddanmark;2021-03-17;F;81;0;4;2402;220249;12946
Hovedstaden;2021-03-17;M;128;0;6;2402;220377;12952
Midtjylland;2021-03-17;M;44;0;0;2402;220421;12952
Nordjylland;2021-03-17;M;24;0;1;2402;220445;12953
Sjælland;2021-03-17;M;43;1;1;2403;220488;12954
Syddanmark;2021-03-17;M;115;2;3;2405;220603;12957
Hovedstaden;2021-03-18;F;148;3;4;2408;220751;12961
Midtjylland;2021-03-18;F;40;0;2;2408;220791;12963
Nordjylland;2021-03-18;F;11;0;0;2408;220802;12963
Sjælland;2021-03-18;F;39;0;2;2408;220841;12965
Syddanmark;2021-03-18;F;90;0;3;2408;220931;12968
Hovedstaden;2021-03-18;M;139;1;8;2409;221070;12976
Midtjylland;2021-03-18;M;33;0;1;2409;221103;12977
Nordjylland;2021-03-18;M;18;0;1;2409;221121;12978
Sjælland;2021-03-18;M;44;0;3;2409;221165;12981
Syddanmark;2021-03-18;M;82;1;5;2410;221247;12986
Hovedstaden;2021-03-19;F;165;0;5;2410;221412;12991
Midtjylland;2021-03-19;F;41;0;1;2410;221453;12992
Nordjylland;2021-03-19;F;10;0;1;2410;221463;12993
Sjælland;2021-03-19;F;42;1;4;2411;221505;12997
Syddanmark;2021-03-19;F;64;0;4;2411;221569;13001
Hovedstaden;2021-03-19;M;162;0;4;2411;221731;13005
Midtjylland;2021-03-19;M;32;0;0;2411;221763;13005
Nordjylland;2021-03-19;M;11;0;1;2411;221774;13006
Sjælland;2021-03-19;M;40;0;5;2411;221814;13011
Syddanmark;2021-03-19;M;72;0;2;2411;221886;13013
Hovedstaden;2021-03-20;F;121;0;3;2411;222007;13016
Midtjylland;2021-03-20;F;26;1;1;2412;222033;13017
Nordjylland;2021-03-20;F;18;0;4;2412;222051;13021
Sjælland;2021-03-20;F;24;1;2;2413;222075;13023
Syddanmark;2021-03-20;F;71;0;2;2413;222146;13025
Hovedstaden;2021-03-20;M;165;0;12;2413;222311;13037
Midtjylland;2021-03-20;M;42;0;1;2413;222353;13038
Nordjylland;2021-03-20;M;21;0;0;2413;222374;13038
Sjælland;2021-03-20;M;29;0;2;2413;222403;13040
Syddanmark;2021-03-20;M;60;0;2;2413;222463;13042
Hovedstaden;2021-03-21;F;133;0;5;2413;222596;13047
Midtjylland;2021-03-21;F;38;0;2;2413;222634;13049
Nordjylland;2021-03-21;F;16;0;1;2413;222650;13050
Sjælland;2021-03-21;F;23;0;1;2413;222673;13051
Syddanmark;2021-03-21;F;61;0;3;2413;222734;13054
Hovedstaden;2021-03-21;M;143;1;7;2414;222877;13061
Midtjylland;2021-03-21;M;45;0;2;2414;222922;13063
Nordjylland;2021-03-21;M;15;0;0;2414;222937;13063
Sjælland;2021-03-21;M;28;1;1;2415;222965;13064
Syddanmark;2021-03-21;M;59;0;4;2415;223024;13068
Hovedstaden;2021-03-22;F;172;0;8;2415;223196;13076
Midtjylland;2021-03-22;F;43;1;2;2416;223239;13078
Nordjylland;2021-03-22;F;20;0;1;2416;223259;13079
Sjælland;2021-03-22;F;39;1;3;2417;223298;13082
Syddanmark;2021-03-22;F;85;0;2;2417;223383;13084
Hovedstaden;2021-03-22;M;189;1;12;2418;223572;13096
Midtjylland;2021-03-22;M;57;0;2;2418;223629;13098
Nordjylland;2021-03-22;M;25;0;1;2418;223654;13099
Sjælland;2021-03-22;M;41;0;2;2418;223695;13101
Syddanmark;2021-03-22;M;104;0;4;2418;223799;13105
Hovedstaden;2021-03-23;F;178;0;14;2418;223977;13119
Midtjylland;2021-03-23;F;76;0;2;2418;224053;13121
Nordjylland;2021-03-23;F;11;0;1;2418;224064;13122
Sjælland;2021-03-23;F;42;0;3;2418;224106;13125
Syddanmark;2021-03-23;F;76;1;3;2419;224182;13128
Hovedstaden;2021-03-23;M;212;2;6;2421;224394;13134
Midtjylland;2021-03-23;M;52;0;4;2421;224446;13138
Nordjylland;2021-03-23;M;24;0;2;2421;224470;13140
Sjælland;2021-03-23;M;47;0;1;2421;224517;13141
Syddanmark;2021-03-23;M;83;0;3;2421;224600;13144
Hovedstaden;2021-03-24;F;203;1;6;2422;224803;13150
Midtjylland;2021-03-24;F;50;0;1;2422;224853;13151
Nordjylland;2021-03-24;F;18;0;1;2422;224871;13152
Sjælland;2021-03-24;F;38;0;3;2422;224909;13155
Syddanmark;2021-03-24;F;79;0;0;2422;224988;13155
Hovedstaden;2021-03-24;M;185;0;8;2422;225173;13163
Midtjylland;2021-03-24;M;58;1;4;2423;225231;13167
Nordjylland;2021-03-24;M;23;0;1;2423;225254;13168
Sjælland;2021-03-24;M;42;0;3;2423;225296;13171
Syddanmark;2021-03-24;M;82;0;5;2423;225378;13176
Hovedstaden;2021-03-25;F;172;1;11;2424;225550;13187
Midtjylland;2021-03-25;F;38;0;3;2424;225588;13190
Nordjylland;2021-03-25;F;8;0;1;2424;225596;13191
Sjælland;2021-03-25;F;29;0;3;2424;225625;13194
Syddanmark;2021-03-25;F;59;0;2;2424;225684;13196
Hovedstaden;2021-03-25;M;178;0;12;2424;225862;13208
Midtjylland;2021-03-25;M;40;0;0;2424;225902;13208
Nordjylland;2021-03-25;M;20;0;1;2424;225922;13209
Sjælland;2021-03-25;M;34;0;0;2424;225956;13209
Syddanmark;2021-03-25;M;57;0;3;2424;226013;13212
Hovedstaden;2021-03-26;F;172;0;10;2424;226185;13222
Midtjylland;2021-03-26;F;41;0;1;2424;226226;13223
Nordjylland;2021-03-26;F;10;0;0;2424;226236;13223
Sjælland;2021-03-26;F;36;0;0;2424;226272;13223
Syddanmark;2021-03-26;F;69;0;5;2424;226341;13228
Hovedstaden;2021-03-26;M;200;0;9;2424;226541;13237
Midtjylland;2021-03-26;M;39;0;0;2424;226580;13237
Nordjylland;2021-03-26;M;14;0;1;2424;226594;13238
Sjælland;2021-03-26;M;43;0;3;2424;226637;13241
Syddanmark;2021-03-26;M;70;0;3;2424;226707;13244
Hovedstaden;2021-03-27;F;174;0;8;2424;226881;13252
Midtjylland;2021-03-27;F;54;0;3;2424;226935;13255
Nordjylland;2021-03-27;F;16;0;0;2424;226951;13255
Sjælland;2021-03-27;F;33;0;3;2424;226984;13258
Syddanmark;2021-03-27;F;72;0;4;2424;227056;13262
Hovedstaden;2021-03-27;M;162;2;15;2426;227218;13277
Midtjylland;2021-03-27;M;47;1;4;2427;227265;13281
Nordjylland;2021-03-27;M;20;0;3;2427;227285;13284
Sjælland;2021-03-27;M;45;0;10;2427;227330;13294
Syddanmark;2021-03-27;M;46;0;1;2427;227376;13295
Hovedstaden;2021-03-28;F;158;1;6;2428;227534;13301
Midtjylland;2021-03-28;F;39;1;5;2429;227573;13306
Nordjylland;2021-03-28;F;11;0;2;2429;227584;13308
Sjælland;2021-03-28;F;25;0;1;2429;227609;13309
Syddanmark;2021-03-28;F;63;1;1;2430;227672;13310
Hovedstaden;2021-03-28;M;164;0;4;2430;227836;13314
Midtjylland;2021-03-28;M;37;0;3;2430;227873;13317
Nordjylland;2021-03-28;M;14;0;0;2430;227887;13317
Sjælland;2021-03-28;M;38;0;3;2430;227925;13320
Syddanmark;2021-03-28;M;61;0;2;2430;227986;13322
Hovedstaden;2021-03-29;F;197;2;15;2432;228183;13337
Midtjylland;2021-03-29;F;55;0;1;2432;228238;13338
Nordjylland;2021-03-29;F;14;0;1;2432;228252;13339
Sjælland;2021-03-29;F;47;1;1;2433;228299;13340
Syddanmark;2021-03-29;F;74;0;6;2433;228373;13346
Hovedstaden;2021-03-29;M;207;3;20;2436;228580;13366
Midtjylland;2021-03-29;M;42;0;3;2436;228622;13369
Nordjylland;2021-03-29;M;26;0;0;2436;228648;13369
Sjælland;2021-03-29;M;42;0;3;2436;228690;13372
Syddanmark;2021-03-29;M;59;0;3;2436;228749;13375
Hovedstaden;2021-03-30;F;193;2;14;2438;228942;13389
Midtjylland;2021-03-30;F;48;1;5;2439;228990;13394
Nordjylland;2021-03-30;F;20;0;3;2439;229010;13397
Sjælland;2021-03-30;F;31;0;2;2439;229041;13399
Syddanmark;2021-03-30;F;60;0;2;2439;229101;13401
Hovedstaden;2021-03-30;M;173;1;13;2440;229274;13414
Midtjylland;2021-03-30;M;44;0;2;2440;229318;13416
Nordjylland;2021-03-30;M;21;0;1;2440;229339;13417
Sjælland;2021-03-30;M;32;0;1;2440;229371;13418
Syddanmark;2021-03-30;M;46;0;0;2440;229417;13418
Hovedstaden;2021-03-31;F;174;0;8;2440;229591;13426
Midtjylland;2021-03-31;F;47;2;1;2442;229638;13427
Nordjylland;2021-03-31;F;21;0;0;2442;229659;13427
Sjælland;2021-03-31;F;24;2;6;2444;229683;13433
Syddanmark;2021-03-31;F;50;0;2;2444;229733;13435
Hovedstaden;2021-03-31;M;197;1;12;2445;229930;13447
Midtjylland;2021-03-31;M;53;0;6;2445;229983;13453
Nordjylland;2021-03-31;M;29;0;0;2445;230012;13453
Sjælland;2021-03-31;M;34;0;1;2445;230046;13454
Syddanmark;2021-03-31;M;56;1;3;2446;230102;13457
Hovedstaden;2021-04-01;F;180;1;8;2447;230282;13465
Midtjylland;2021-04-01;F;57;0;4;2447;230339;13469
Nordjylland;2021-04-01;F;22;0;1;2447;230361;13470
Sjælland;2021-04-01;F;46;0;1;2447;230407;13471
Syddanmark;2021-04-01;F;64;0;1;2447;230471;13472
Hovedstaden;2021-04-01;M;175;0;12;2447;230646;13484
Midtjylland;2021-04-01;M;52;0;7;2447;230698;13491
Nordjylland;2021-04-01;M;24;0;0;2447;230722;13491
Sjælland;2021-04-01;M;44;0;0;2447;230766;13491
Syddanmark;2021-04-01;M;42;0;5;2447;230808;13496
Hovedstaden;2021-04-02;F;147;0;5;2447;230955;13501
Midtjylland;2021-04-02;F;45;0;1;2447;231000;13502
Nordjylland;2021-04-02;F;18;0;0;2447;231018;13502
Sjælland;2021-04-02;F;30;0;1;2447;231048;13503
Syddanmark;2021-04-02;F;40;0;1;2447;231088;13504
Hovedstaden;2021-04-02;M;126;0;8;2447;231214;13512
Midtjylland;2021-04-02;M;45;0;1;2447;231259;13513
Nordjylland;2021-04-02;M;18;0;2;2447;231277;13515
Sjælland;2021-04-02;M;33;0;3;2447;231310;13518
Syddanmark;2021-04-02;M;46;0;2;2447;231356;13520
Hovedstaden;2021-04-03;F;115;0;3;2447;231471;13523
Midtjylland;2021-04-03;F;59;0;3;2447;231530;13526
Nordjylland;2021-04-03;F;13;0;0;2447;231543;13526
Sjælland;2021-04-03;F;26;0;2;2447;231569;13528
Syddanmark;2021-04-03;F;43;0;1;2447;231612;13529
Hovedstaden;2021-04-03;M;124;1;8;2448;231736;13537
Midtjylland;2021-04-03;M;50;1;2;2449;231786;13539
Nordjylland;2021-04-03;M;26;0;1;2449;231812;13540
Sjælland;2021-04-03;M;30;0;0;2449;231842;13540
Syddanmark;2021-04-03;M;30;0;1;2449;231872;13541
Hovedstaden;2021-04-04;F;124;0;7;2449;231996;13548
Midtjylland;2021-04-04;F;34;0;0;2449;232030;13548
Nordjylland;2021-04-04;F;16;0;0;2449;232046;13548
Sjælland;2021-04-04;F;16;0;2;2449;232062;13550
Syddanmark;2021-04-04;F;35;0;4;2449;232097;13554
Hovedstaden;2021-04-04;M;116;0;3;2449;232213;13557
Midtjylland;2021-04-04;M;41;0;1;2449;232254;13558
Nordjylland;2021-04-04;M;26;0;1;2449;232280;13559
Sjælland;2021-04-04;M;25;0;0;2449;232305;13559
Syddanmark;2021-04-04;M;26;0;0;2449;232331;13559
Hovedstaden;2021-04-05;F;130;0;3;2449;232461;13562
Midtjylland;2021-04-05;F;50;0;1;2449;232511;13563
Nordjylland;2021-04-05;F;25;0;2;2449;232536;13565
Sjælland;2021-04-05;F;31;0;1;2449;232567;13566
Syddanmark;2021-04-05;F;39;0;1;2449;232606;13567
Hovedstaden;2021-04-05;M;139;0;5;2449;232745;13572
Midtjylland;2021-04-05;M;38;0;2;2449;232783;13574
Nordjylland;2021-04-05;M;25;0;1;2449;232808;13575
Sjælland;2021-04-05;M;33;0;1;2449;232841;13576
Syddanmark;2021-04-05;M;41;0;4;2449;232882;13580
Hovedstaden;2021-04-06;F;174;0;8;2449;233056;13588
Midtjylland;2021-04-06;F;39;0;2;2449;233095;13590
Nordjylland;2021-04-06;F;21;0;1;2449;233116;13591
Sjælland;2021-04-06;F;34;0;3;2449;233150;13594
Syddanmark;2021-04-06;F;54;0;5;2449;233204;13599
Hovedstaden;2021-04-06;M;199;0;11;2449;233403;13610
Midtjylland;2021-04-06;M;58;0;5;2449;233461;13615
Nordjylland;2021-04-06;M;31;0;0;2449;233492;13615
Sjælland;2021-04-06;M;30;0;1;2449;233522;13616
Syddanmark;2021-04-06;M;55;0;2;2449;233577;13618
Hovedstaden;2021-04-07;F;147;1;6;2450;233724;13624
Midtjylland;2021-04-07;F;54;0;3;2450;233778;13627
Nordjylland;2021-04-07;F;38;0;2;2450;233816;13629
Sjælland;2021-04-07;F;34;0;3;2450;233850;13632
Syddanmark;2021-04-07;F;57;0;2;2450;233907;13634
Hovedstaden;2021-04-07;M;178;2;6;2452;234085;13640
Midtjylland;2021-04-07;M;54;0;2;2452;234139;13642
Nordjylland;2021-04-07;M;30;0;1;2452;234169;13643
Sjælland;2021-04-07;M;50;0;5;2452;234219;13648
Syddanmark;2021-04-07;M;62;0;4;2452;234281;13652
Hovedstaden;2021-04-08;F;181;1;7;2453;234462;13659
Midtjylland;2021-04-08;F;67;1;3;2454;234529;13662
Nordjylland;2021-04-08;F;11;0;0;2454;234540;13662
Sjælland;2021-04-08;F;46;0;2;2454;234586;13664
Syddanmark;2021-04-08;F;39;1;1;2455;234625;13665
Hovedstaden;2021-04-08;M;175;0;7;2455;234800;13672
Midtjylland;2021-04-08;M;59;1;3;2456;234859;13675
Nordjylland;2021-04-08;M;28;1;3;2457;234887;13678
Sjælland;2021-04-08;M;51;0;4;2457;234938;13682
Syddanmark;2021-04-08;M;49;0;6;2457;234987;13688
Hovedstaden;2021-04-09;F;177;2;10;2459;235164;13698
Midtjylland;2021-04-09;F;44;0;3;2459;235208;13701
Nordjylland;2021-04-09;F;26;2;3;2461;235234;13704
Sjælland;2021-04-09;F;44;0;2;2461;235278;13706
Syddanmark;2021-04-09;F;47;0;0;2461;235325;13706
Hovedstaden;2021-04-09;M;192;1;7;2462;235517;13713
Midtjylland;2021-04-09;M;49;0;3;2462;235566;13716
Nordjylland;2021-04-09;M;28;0;1;2462;235594;13717
Sjælland;2021-04-09;M;47;0;1;2462;235641;13718
Syddanmark;2021-04-09;M;61;0;1;2462;235702;13719
Hovedstaden;2021-04-10;F;127;0;5;2462;235829;13724
Midtjylland;2021-04-10;F;33;0;5;2462;235862;13729
Nordjylland;2021-04-10;F;26;0;1;2462;235888;13730
Sjælland;2021-04-10;F;26;0;0;2462;235914;13730
Syddanmark;2021-04-10;F;47;0;1;2462;235961;13731
Hovedstaden;2021-04-10;M;132;1;3;2463;236093;13734
Midtjylland;2021-04-10;M;41;0;1;2463;236134;13735
Nordjylland;2021-04-10;M;32;0;0;2463;236166;13735
Sjælland;2021-04-10;M;31;0;2;2463;236197;13737
Syddanmark;2021-04-10;M;46;1;4;2464;236243;13741
Hovedstaden;2021-04-11;F;122;0;3;2464;236365;13744
Midtjylland;2021-04-11;F;55;1;2;2465;236420;13746
Nordjylland;2021-04-11;F;18;0;0;2465;236438;13746
Sjælland;2021-04-11;F;30;0;2;2465;236468;13748
Syddanmark;2021-04-11;F;30;0;5;2465;236498;13753
Hovedstaden;2021-04-11;M;115;0;4;2465;236613;13757
Midtjylland;2021-04-11;M;42;0;0;2465;236655;13757
Nordjylland;2021-04-11;M;23;0;0;2465;236678;13757
Sjælland;2021-04-11;M;44;0;2;2465;236722;13759
Syddanmark;2021-04-11;M;49;1;3;2466;236771;13762
Hovedstaden;2021-04-12;F;163;0;15;2466;236934;13777
Midtjylland;2021-04-12;F;45;0;3;2466;236979;13780
Nordjylland;2021-04-12;F;37;2;3;2468;237016;13783
Sjælland;2021-04-12;F;49;0;2;2468;237065;13785
Syddanmark;2021-04-12;F;55;0;4;2468;237120;13789
Hovedstaden;2021-04-12;M;197;3;13;2471;237317;13802
Midtjylland;2021-04-12;M;62;0;2;2471;237379;13804
Nordjylland;2021-04-12;M;31;0;1;2471;237410;13805
Sjælland;2021-04-12;M;57;0;4;2471;237467;13809
Syddanmark;2021-04-12;M;51;0;0;2471;237518;13809
Hovedstaden;2021-04-13;F;151;2;8;2473;237669;13817
Midtjylland;2021-04-13;F;66;0;2;2473;237735;13819
Nordjylland;2021-04-13;F;21;0;1;2473;237756;13820
Sjælland;2021-04-13;F;58;0;0;2473;237814;13820
Syddanmark;2021-04-13;F;42;0;2;2473;237856;13822
Hovedstaden;2021-04-13;M;181;0;10;2473;238037;13832
Midtjylland;2021-04-13;M;85;0;2;2473;238122;13834
Nordjylland;2021-04-13;M;33;0;1;2473;238155;13835
Sjælland;2021-04-13;M;42;0;2;2473;238197;13837
Syddanmark;2021-04-13;M;54;0;1;2473;238251;13838
Hovedstaden;2021-04-14;F;168;0;6;2473;238419;13844
Midtjylland;2021-04-14;F;53;0;2;2473;238472;13846
Nordjylland;2021-04-14;F;24;0;0;2473;238496;13846
Sjælland;2021-04-14;F;34;0;1;2473;238530;13847
Syddanmark;2021-04-14;F;37;0;1;2473;238567;13848
Hovedstaden;2021-04-14;M;165;0;9;2473;238732;13857
Midtjylland;2021-04-14;M;82;1;4;2474;238814;13861
Nordjylland;2021-04-14;M;30;0;0;2474;238844;13861
Sjælland;2021-04-14;M;41;0;5;2474;238885;13866
Syddanmark;2021-04-14;M;56;0;3;2474;238941;13869
Hovedstaden;2021-04-15;F;178;1;6;2475;239119;13875
Midtjylland;2021-04-15;F;84;0;2;2475;239203;13877
Nordjylland;2021-04-15;F;25;0;1;2475;239228;13878
Sjælland;2021-04-15;F;47;0;3;2475;239275;13881
Syddanmark;2021-04-15;F;52;0;4;2475;239327;13885
Hovedstaden;2021-04-15;M;147;2;7;2477;239474;13892
Midtjylland;2021-04-15;M;71;0;7;2477;239545;13899
Nordjylland;2021-04-15;M;24;0;0;2477;239569;13899
Sjælland;2021-04-15;M;42;0;3;2477;239611;13902
Syddanmark;2021-04-15;M;55;0;1;2477;239666;13903
Hovedstaden;2021-04-16;F;160;0;10;2477;239826;13913
Midtjylland;2021-04-16;F;57;0;3;2477;239883;13916
Nordjylland;2021-04-16;F;19;0;0;2477;239902;13916
Sjælland;2021-04-16;F;43;0;1;2477;239945;13917
Syddanmark;2021-04-16;F;42;0;1;2477;239987;13918
Hovedstaden;2021-04-16;M;171;0;4;2477;240158;13922
Midtjylland;2021-04-16;M;86;0;0;2477;240244;13922
Nordjylland;2021-04-16;M;25;0;1;2477;240269;13923
Sjælland;2021-04-16;M;43;1;4;2478;240312;13927
Syddanmark;2021-04-16;M;54;0;1;2478;240366;13928
Hovedstaden;2021-04-17;F;146;0;4;2478;240512;13932
Midtjylland;2021-04-17;F;72;0;6;2478;240584;13938
Nordjylland;2021-04-17;F;29;0;0;2478;240613;13938
Sjælland;2021-04-17;F;36;0;0;2478;240649;13938
Syddanmark;2021-04-17;F;35;0;1;2478;240684;13939
Hovedstaden;2021-04-17;M;161;0;8;2478;240845;13947
Midtjylland;2021-04-17;M;64;0;2;2478;240909;13949
Nordjylland;2021-04-17;M;27;1;0;2479;240936;13949
Sjælland;2021-04-17;M;34;0;1;2479;240970;13950
Syddanmark;2021-04-17;M;43;0;3;2479;241013;13953
Hovedstaden;2021-04-18;F;176;2;10;2481;241189;13963
Midtjylland;2021-04-18;F;76;0;6;2481;241265;13969
Nordjylland;2021-04-18;F;32;0;1;2481;241297;13970
Sjælland;2021-04-18;F;37;0;4;2481;241334;13974
Syddanmark;2021-04-18;F;37;0;4;2481;241371;13978
Hovedstaden;2021-04-18;M;175;0;9;2481;241546;13987
Midtjylland;2021-04-18;M;75;0;0;2481;241621;13987
Nordjylland;2021-04-18;M;18;0;0;2481;241639;13987
Sjælland;2021-04-18;M;41;0;3;2481;241680;13990
Syddanmark;2021-04-18;M;42;0;2;2481;241722;13992
Hovedstaden;2021-04-19;F;197;0;6;2481;241919;13998
Midtjylland;2021-04-19;F;81;0;2;2481;242000;14000
Nordjylland;2021-04-19;F;42;0;1;2481;242042;14001
Sjælland;2021-04-19;F;42;0;2;2481;242084;14003
Syddanmark;2021-04-19;F;53;0;3;2481;242137;14006
Hovedstaden;2021-04-19;M;181;1;10;2482;242318;14016
Midtjylland;2021-04-19;M;100;0;3;2482;242418;14019
Nordjylland;2021-04-19;M;47;1;2;2483;242465;14021
Sjælland;2021-04-19;M;60;0;6;2483;242525;14027
Syddanmark;2021-04-19;M;54;0;3;2483;242579;14030
Hovedstaden;2021-04-20;F;177;0;5;2483;242756;14035
Midtjylland;2021-04-20;F;87;0;7;2483;242843;14042
Nordjylland;2021-04-20;F;28;0;0;2483;242871;14042
Sjælland;2021-04-20;F;47;0;0;2483;242918;14042
Syddanmark;2021-04-20;F;41;0;0;2483;242959;14042
Hovedstaden;2021-04-20;M;181;0;9;2483;243140;14051
Midtjylland;2021-04-20;M;109;0;5;2483;243249;14056
Nordjylland;2021-04-20;M;54;0;2;2483;243303;14058
Sjælland;2021-04-20;M;52;1;4;2484;243355;14062
Syddanmark;2021-04-20;M;62;0;0;2484;243417;14062
Hovedstaden;2021-04-21;F;156;0;6;2484;243573;14068
Midtjylland;2021-04-21;F;63;0;0;2484;243636;14068
Nordjylland;2021-04-21;F;21;0;1;2484;243657;14069
Sjælland;2021-04-21;F;39;0;1;2484;243696;14070
Syddanmark;2021-04-21;F;34;0;2;2484;243730;14072
Hovedstaden;2021-04-21;M;159;1;9;2485;243889;14081
Midtjylland;2021-04-21;M;81;0;3;2485;243970;14084
Nordjylland;2021-04-21;M;18;0;1;2485;243988;14085
Sjælland;2021-04-21;M;47;0;2;2485;244035;14087
Syddanmark;2021-04-21;M;38;0;0;2485;244073;14087
Hovedstaden;2021-04-22;F;141;1;8;2486;244214;14095
Midtjylland;2021-04-22;F;52;0;0;2486;244266;14095
Nordjylland;2021-04-22;F;25;0;0;2486;244291;14095
Sjælland;2021-04-22;F;34;0;3;2486;244325;14098
Syddanmark;2021-04-22;F;34;0;0;2486;244359;14098
Hovedstaden;2021-04-22;M;147;0;3;2486;244506;14101
Midtjylland;2021-04-22;M;52;0;2;2486;244558;14103
Nordjylland;2021-04-22;M;26;0;1;2486;244584;14104
Sjælland;2021-04-22;M;50;0;3;2486;244634;14107
Syddanmark;2021-04-22;M;54;0;0;2486;244688;14107
Hovedstaden;2021-04-23;F;124;0;3;2486;244812;14110
Midtjylland;2021-04-23;F;54;0;1;2486;244866;14111
Nordjylland;2021-04-23;F;37;0;2;2486;244903;14113
Sjælland;2021-04-23;F;35;0;1;2486;244938;14114
Syddanmark;2021-04-23;F;50;0;2;2486;244988;14116
Hovedstaden;2021-04-23;M;135;1;3;2487;245123;14119
Midtjylland;2021-04-23;M;65;0;2;2487;245188;14121
Nordjylland;2021-04-23;M;42;0;0;2487;245230;14121
