,date,group,percentage
141,2020-12-04,0,0.4695121951219512
142,2020-12-05,0,0.4666666666666667
143,2020-12-06,0,0.45390070921985815
144,2020-12-07,0,0.42207792207792205
145,2020-12-08,0,0.3917525773195876
146,2020-12-09,0,0.4046692607003891
147,2020-12-10,0,0.41262135922330095
148,2020-12-11,0,0.3895582329317269
149,2020-12-12,0,0.35019455252918286
150,2020-12-13,0,0.3204633204633205
151,2020-12-14,0,0.34274193548387094
152,2020-12-15,0,0.40784313725490196
153,2020-12-16,0,0.43283582089552236
154,2020-12-17,0,0.3308550185873606
155,2020-12-18,0,0.2948717948717949
156,2020-12-19,0,0.33860759493670883
157,2020-12-20,0,0.3532934131736527
158,2020-12-21,0,0.3803418803418803
159,2020-12-22,0,0.3256484149855908
160,2020-12-23,0,0.34502923976608185
