,date,percentage
350,2020-11-20,0.6680672268907563
352,2020-11-21,0.6902654867256637
354,2020-11-22,0.6824324324324325
356,2020-11-23,0.6840277777777778
358,2020-11-24,0.63671875
360,2020-11-25,0.7423312883435583
362,2020-11-26,0.694980694980695
364,2020-11-27,0.6488888888888888
366,2020-11-28,0.7117437722419929
368,2020-11-29,0.6966292134831461
370,2020-11-30,0.7352941176470589
372,2020-12-01,0.6517857142857143
374,2020-12-02,0.6716417910447762
376,2020-12-03,0.6973684210526315
378,2020-12-04,0.6951871657754011
380,2020-12-05,0.6036585365853658
382,2020-12-06,0.6435643564356436
384,2020-12-07,0.6826347305389222
386,2020-12-08,0.6962616822429907
388,2020-12-09,0.7247386759581882
390,2020-12-10,0.7085201793721974
392,2020-12-11,0.7174721189591078
394,2020-12-12,0.7659574468085106
396,2020-12-13,0.795774647887324
398,2020-12-14,0.79182156133829
400,2020-12-15,0.7589928057553957
402,2020-12-16,0.7171052631578947
404,2020-12-17,0.791095890410959
406,2020-12-18,0.8286852589641435
408,2020-12-19,0.7616279069767442
410,2020-12-20,0.7805555555555556
412,2020-12-21,0.7773584905660378
414,2020-12-22,0.8093922651933702
416,2020-12-23,0.7486631016042781
418,2020-12-24,0.7
420,2020-12-25,0.7574850299401198
422,2020-12-26,0.7800829875518672
424,2020-12-27,0.7464788732394366
426,2020-12-28,0.7692307692307693
428,2020-12-29,0.7293233082706767
430,2020-12-30,0.8928571428571429
432,2020-12-31,0.8888888888888888
434,2021-01-01,0.8095238095238095
436,2021-01-02,0.6842105263157895
438,2021-01-03,0.7445887445887446
440,2021-01-04,0.7897727272727273
442,2021-01-05,0.7965116279069767
444,2021-01-06,0.7773851590106007
446,2021-01-07,0.7865612648221344
448,2021-01-08,0.8505747126436781
450,2021-01-09,0.8213166144200627
452,2021-01-10,0.819047619047619
454,2021-01-11,0.8252032520325203
456,2021-01-12,0.8410041841004184
458,2021-01-13,0.7974683544303798
460,2021-01-14,0.8105263157894737
462,2021-01-15,0.7782608695652173
464,2021-01-16,0.8373983739837398
466,2021-01-17,0.8153310104529616
468,2021-01-18,0.8076923076923077
470,2021-01-19,0.8409703504043127
472,2021-01-20,0.8075471698113208
474,2021-01-21,0.8603603603603603
476,2021-01-22,0.8523809523809524
478,2021-01-23,0.7781456953642384
480,2021-01-24,0.8057851239669421
482,2021-01-25,0.7946768060836502
484,2021-01-26,0.8035087719298246
486,2021-01-27,0.8333333333333334
488,2021-01-28,0.7715355805243446
490,2021-01-29,0.8461538461538461
492,2021-01-30,0.7175925925925926
494,2021-01-31,0.7911392405063291
496,2021-02-01,0.7749077490774908
498,2021-02-02,0.7977941176470589
500,2021-02-03,0.8129251700680272
502,2021-02-04,0.756198347107438
504,2021-02-05,0.763265306122449
506,2021-02-06,0.7949640287769785
508,2021-02-07,0.7730769230769231
510,2021-02-08,0.7653429602888087
512,2021-02-09,0.7654723127035831
514,2021-02-10,0.8023715415019763
516,2021-02-11,0.7787234042553192
518,2021-02-12,0.7947368421052632
520,2021-02-13,0.7157894736842105
522,2021-02-14,0.6954887218045113
524,2021-02-15,0.7467248908296943
526,2021-02-16,0.7411347517730497
528,2021-02-17,0.7611940298507462
530,2021-02-18,0.773109243697479
532,2021-02-19,0.7642585551330798
534,2021-02-20,0.7886792452830189
536,2021-02-21,0.7570093457943925
538,2021-02-22,0.7235294117647059
540,2021-02-23,0.7450199203187251
542,2021-02-24,0.7621359223300971
544,2021-02-25,0.7095238095238096
546,2021-02-26,0.8024691358024691
548,2021-02-27,0.722488038277512
550,2021-02-28,0.7116104868913857
552,2021-03-01,0.72
554,2021-03-02,0.7206349206349206
556,2021-03-03,0.7339055793991416
558,2021-03-04,0.6926829268292682
560,2021-03-05,0.7630057803468208
562,2021-03-06,0.7357723577235772
564,2021-03-07,0.7541666666666667
566,2021-03-08,0.7380952380952381
568,2021-03-09,0.7459677419354839
570,2021-03-10,0.7761194029850746
572,2021-03-11,0.75
574,2021-03-12,0.7101449275362319
576,2021-03-13,0.6594202898550725
578,2021-03-14,0.7008547008547008
580,2021-03-15,0.7091836734693877
582,2021-03-16,0.6991150442477876
584,2021-03-17,0.6911764705882353
586,2021-03-18,0.6931407942238267
588,2021-03-19,0.680327868852459
590,2021-03-20,0.6718146718146718
592,2021-03-21,0.6607929515418502
594,2021-03-22,0.7457627118644068
596,2021-03-23,0.6697247706422018
598,2021-03-24,0.6862745098039216
600,2021-03-25,0.7212389380530974
602,2021-03-26,0.7029702970297029
604,2021-03-27,0.6967213114754098
606,2021-03-28,0.7095435684647303
608,2021-03-29,0.6802030456852792
610,2021-03-30,0.7205882352941176
612,2021-03-31,0.746268656716418
614,2021-04-01,0.6276595744680851
616,2021-04-02,0.6
618,2021-04-03,0.6626506024096386
620,2021-04-04,0.6698564593301436
622,2021-04-05,0.693950177935943
624,2021-04-06,0.664804469273743
626,2021-04-07,0.6580310880829016
628,2021-04-08,0.74375
630,2021-04-09,0.6703296703296703
632,2021-04-10,0.6802030456852792
634,2021-04-11,0.6169354838709677
636,2021-04-12,0.7052023121387283
638,2021-04-13,0.7126436781609196
640,2021-04-14,0.7043010752688172
642,2021-04-15,0.7046979865771812
644,2021-04-16,0.6363636363636364
646,2021-04-17,0.6574585635359116
648,2021-04-18,0.6517412935323383
650,2021-04-19,0.6909090909090909
652,2021-04-20,0.7114427860696517
654,2021-04-21,0.703125
656,2021-04-22,0.6377952755905512
658,2021-04-23,0.6637554585152838
660,2021-04-24,0.6357142857142857
662,2021-04-25,0.6488294314381271
664,2021-04-26,0.643312101910828
666,2021-04-27,0.6181818181818182
668,2021-04-28,0.6490384615384616
670,2021-04-29,0.6510067114093959
672,2021-04-30,0.6604477611940298
674,2021-05-01,0.7157894736842105
676,2021-05-02,0.7153284671532847
678,2021-05-03,0.6918238993710691
680,2021-05-04,0.6963350785340314
682,2021-05-05,0.5863309352517986
684,2021-05-06,0.702247191011236
686,2021-05-07,0.6121212121212121
688,2021-05-08,0.6096256684491979
690,2021-05-09,0.5879396984924623
692,2021-05-10,0.6601941747572816
694,2021-05-11,0.6528497409326425
696,2021-05-12,0.5858585858585859
698,2021-05-13,0.611353711790393
700,2021-05-14,0.6037735849056604
702,2021-05-15,0.578544061302682
704,2021-05-16,0.6084905660377359
706,2021-05-17,0.6225490196078431
708,2021-05-18,0.6605504587155964
710,2021-05-19,0.6511627906976745
712,2021-05-20,0.6714285714285714
714,2021-05-21,0.6363636363636364
716,2021-05-22,0.6451612903225806
718,2021-05-23,0.6
720,2021-05-24,0.6229508196721312
722,2021-05-25,0.6951871657754011
724,2021-05-26,0.6981132075471698
726,2021-05-27,0.585635359116022
728,2021-05-28,0.6382978723404256
730,2021-05-29,0.5263157894736842
732,2021-05-30,0.5989304812834224
734,2021-05-31,0.6708074534161491
736,2021-06-01,0.5960591133004927
738,2021-06-02,0.6293103448275862
740,2021-06-03,0.6347826086956522
742,2021-06-04,0.6694214876033058
744,2021-06-05,0.6518518518518519
746,2021-06-06,0.574468085106383
748,2021-06-07,0.595
750,2021-06-08,0.6235294117647059
752,2021-06-09,0.6108108108108108
754,2021-06-10,0.57
756,2021-06-11,0.577639751552795
758,2021-06-12,0.6
760,2021-06-13,0.5857988165680473
762,2021-06-14,0.6197916666666666
764,2021-06-15,0.5549738219895288
766,2021-06-16,0.6
768,2021-06-17,0.6594202898550725
770,2021-06-18,0.6272189349112426
772,2021-06-19,0.5875
774,2021-06-20,0.6197183098591549
776,2021-06-21,0.5725806451612904
778,2021-06-22,0.5874439461883408
780,2021-06-23,0.5252525252525253
782,2021-06-24,0.6015625
784,2021-06-25,0.5757575757575758
786,2021-06-26,0.5706521739130435
788,2021-06-27,0.5080213903743316
790,2021-06-28,0.49693251533742333
792,2021-06-29,0.580952380952381
794,2021-06-30,0.5843373493975904
796,2021-07-01,0.46153846153846156
798,2021-07-02,0.5212121212121212
800,2021-07-03,0.5510204081632653
802,2021-07-04,0.472636815920398
804,2021-07-05,0.5689655172413793
806,2021-07-06,0.4911242603550296
808,2021-07-07,0.532051282051282
810,2021-07-08,0.5070422535211268
812,2021-07-09,0.5035460992907801
814,2021-07-10,0.47115384615384615
816,2021-07-11,0.41530054644808745
818,2021-07-12,0.41358024691358025
820,2021-07-13,0.5103448275862069
822,2021-07-14,0.5681818181818182
824,2021-07-15,0.5028571428571429
826,2021-07-16,0.5273972602739726
828,2021-07-17,0.50920245398773
830,2021-07-18,0.5513513513513514
832,2021-07-19,0.56
834,2021-07-20,0.5318181818181819
836,2021-07-21,0.5224719101123596
838,2021-07-22,0.52
840,2021-07-23,0.5454545454545454
842,2021-07-24,0.5308641975308642
844,2021-07-25,0.49743589743589745
846,2021-07-26,0.47674418604651164
848,2021-07-27,0.5645161290322581
850,2021-07-28,0.5804597701149425
852,2021-07-29,0.5110132158590308
854,2021-07-30,0.5806451612903226
856,2021-07-31,0.521505376344086
858,2021-08-01,0.4897959183673469
860,2021-08-02,0.5174418604651163
862,2021-08-03,0.5280898876404494
864,2021-08-04,0.5606936416184971
866,2021-08-05,0.5057471264367817
868,2021-08-06,0.5256410256410257
870,2021-08-07,0.5164835164835165
872,2021-08-08,0.472636815920398
874,2021-08-09,0.4918032786885246
876,2021-08-10,0.5510204081632653
878,2021-08-11,0.5085714285714286
880,2021-08-12,0.5
882,2021-08-13,0.5081967213114754
884,2021-08-14,0.4672897196261682
886,2021-08-15,0.5111111111111111
888,2021-08-16,0.5242718446601942
890,2021-08-17,0.525974025974026
892,2021-08-18,0.5228758169934641
894,2021-08-19,0.452991452991453
896,2021-08-20,0.5233644859813084
898,2021-08-21,0.455026455026455
900,2021-08-22,0.43209876543209874
902,2021-08-23,0.4358974358974359
904,2021-08-24,0.5069444444444444
906,2021-08-25,0.46703296703296704
908,2021-08-26,0.49504950495049505
910,2021-08-27,0.5255474452554745
912,2021-08-28,0.4725274725274725
914,2021-08-29,0.4772727272727273
916,2021-08-30,0.47540983606557374
918,2021-08-31,0.4645669291338583
920,2021-09-01,0.4566929133858268
922,2021-09-02,0.45625
924,2021-09-03,0.48148148148148145
926,2021-09-04,0.4609375
928,2021-09-05,0.49032258064516127
930,2021-09-06,0.5
932,2021-09-07,0.45121951219512196
934,2021-09-08,0.574468085106383
936,2021-09-09,0.4722222222222222
938,2021-09-10,0.43157894736842106
940,2021-09-11,0.4945054945054945
942,2021-09-12,0.4787234042553192
944,2021-09-13,0.4129032258064516
946,2021-09-14,0.4
948,2021-09-15,0.48214285714285715
950,2021-09-16,0.44966442953020136
952,2021-09-17,0.47770700636942676
954,2021-09-18,0.5223880597014925
956,2021-09-19,0.47878787878787876
958,2021-09-20,0.4868421052631579
960,2021-09-21,0.489010989010989
962,2021-09-22,0.4840764331210191
964,2021-09-23,0.47337278106508873
966,2021-09-24,0.45689655172413796
968,2021-09-25,0.43478260869565216
970,2021-09-26,0.3875
972,2021-09-27,0.4122137404580153
974,2021-09-28,0.36666666666666664
976,2021-09-29,0.41304347826086957
978,2021-09-30,0.44805194805194803
980,2021-10-01,0.4277456647398844
982,2021-10-02,0.4111111111111111
984,2021-10-03,0.4177777777777778
986,2021-10-04,0.48623853211009177
988,2021-10-05,0.536
990,2021-10-06,0.5344827586206896
992,2021-10-07,0.4523809523809524
994,2021-10-08,0.4090909090909091
996,2021-10-09,0.45098039215686275
998,2021-10-10,0.45374449339207046
1000,2021-10-11,0.43575418994413406
1002,2021-10-12,0.4460431654676259
1004,2021-10-13,0.4596774193548387
1006,2021-10-14,0.3879310344827586
1008,2021-10-15,0.34831460674157305
