,date,group,percentage
65,2020-09-24,1,0.43023255813953487
66,2020-09-25,1,0.44981412639405205
67,2020-09-26,1,0.4421965317919075
68,2020-09-27,1,0.43503937007874016
69,2020-09-28,1,0.41265822784810124
70,2020-09-29,1,0.40145985401459855
71,2020-09-30,1,0.42091836734693877
72,2020-10-01,1,0.44299674267100975
73,2020-10-02,1,0.45161290322580644
74,2020-10-03,1,0.4194915254237288
75,2020-10-04,1,0.49595687331536387
76,2020-10-05,1,0.4012738853503185
77,2020-10-06,1,0.4383954154727794
78,2020-10-07,1,0.4107142857142857
79,2020-10-08,1,0.40217391304347827
80,2020-10-09,1,0.4557522123893805
81,2020-10-10,1,0.44052863436123346
82,2020-10-11,1,0.4693140794223827
83,2020-10-12,1,0.4957627118644068
84,2020-10-13,1,0.4246031746031746
85,2020-10-14,1,0.4567901234567901
86,2020-10-15,1,0.4217391304347826
87,2020-10-16,1,0.4675324675324675
88,2020-10-17,1,0.42483660130718953
89,2020-10-18,1,0.42105263157894735
90,2020-10-19,1,0.37872340425531914
91,2020-10-20,1,0.43582089552238806
92,2020-10-21,1,0.4336917562724014
93,2020-10-22,1,0.40601503759398494
94,2020-10-23,1,0.4444444444444444
95,2020-10-24,1,0.4024691358024691
96,2020-10-25,1,0.40875912408759124
97,2020-10-26,1,0.4209245742092457
98,2020-10-27,1,0.41471571906354515
99,2020-10-28,1,0.4105263157894737
100,2020-10-29,1,0.3787465940054496
101,2020-10-30,1,0.40711462450592883
102,2020-10-31,1,0.3829787234042553
103,2020-11-01,1,0.34944237918215615
104,2020-11-02,1,0.34563758389261745
105,2020-11-03,1,0.39183673469387753
106,2020-11-04,1,0.4226415094339623
107,2020-11-05,1,0.3694581280788177
108,2020-11-06,1,0.4108527131782946
109,2020-11-07,1,0.43884892086330934
110,2020-11-08,1,0.41786743515850144
111,2020-11-09,1,0.42424242424242425
112,2020-11-10,1,0.4200913242009132
113,2020-11-11,1,0.3933333333333333
114,2020-11-12,1,0.4434782608695652
115,2020-11-13,1,0.41353383458646614
116,2020-11-14,1,0.3964285714285714
117,2020-11-15,1,0.4703703703703704
118,2020-11-16,1,0.41739130434782606
119,2020-11-17,1,0.3802083333333333
120,2020-11-18,1,0.4008810572687225
121,2020-11-19,1,0.4532710280373832
122,2020-11-20,1,0.42857142857142855
123,2020-11-21,1,0.3980891719745223
124,2020-11-22,1,0.43656716417910446
125,2020-11-23,1,0.4115384615384615
126,2020-11-24,1,0.423728813559322
127,2020-11-25,1,0.36879432624113473
128,2020-11-26,1,0.4146341463414634
129,2020-11-27,1,0.4492753623188406
130,2020-11-28,1,0.4075471698113208
131,2020-11-29,1,0.375
132,2020-11-30,1,0.4083333333333333
133,2020-12-01,1,0.4236453201970443
134,2020-12-02,1,0.44505494505494503
135,2020-12-03,1,0.4174757281553398
136,2020-12-04,1,0.4695121951219512
137,2020-12-05,1,0.4666666666666667
138,2020-12-06,1,0.44680851063829785
139,2020-12-07,1,0.42207792207792205
140,2020-12-08,1,0.4020618556701031
141,2020-12-09,1,0.4046692607003891
142,2020-12-10,1,0.4029126213592233
143,2020-12-11,1,0.3855421686746988
144,2020-12-12,1,0.35019455252918286
145,2020-12-13,1,0.3204633204633205
146,2020-12-14,1,0.34274193548387094
147,2020-12-15,1,0.4
148,2020-12-16,1,0.4253731343283582
149,2020-12-17,1,0.3271375464684015
150,2020-12-18,1,0.2905982905982906
151,2020-12-19,1,0.33860759493670883
152,2020-12-20,1,0.344311377245509
153,2020-12-21,1,0.3717948717948718
154,2020-12-22,1,0.3227665706051873
155,2020-12-23,1,0.34502923976608185
156,2020-12-24,1,0.41935483870967744
157,2020-12-25,1,0.3193548387096774
158,2020-12-26,1,0.35585585585585583
159,2020-12-27,1,0.332
160,2020-12-28,1,0.33617021276595743
161,2020-12-29,1,0.4065040650406504
162,2020-12-30,1,0.17647058823529413
163,2020-12-31,1,0.25925925925925924
164,2021-01-01,1,0.2857142857142857
165,2021-01-02,1,0.39080459770114945
166,2021-01-03,1,0.325
167,2021-01-04,1,0.3605015673981191
168,2021-01-05,1,0.31475409836065577
169,2021-01-06,1,0.3137254901960784
170,2021-01-07,1,0.36123348017621143
171,2021-01-08,1,0.34591194968553457
172,2021-01-09,1,0.3
173,2021-01-10,1,0.328719723183391
174,2021-01-11,1,0.36160714285714285
175,2021-01-12,1,0.2946859903381642
176,2021-01-13,1,0.3402777777777778
177,2021-01-14,1,0.34108527131782945
178,2021-01-15,1,0.34285714285714286
179,2021-01-16,1,0.29705882352941176
180,2021-01-17,1,0.2862595419847328
181,2021-01-18,1,0.3404255319148936
182,2021-01-19,1,0.2884012539184953
183,2021-01-20,1,0.3628691983122363
184,2021-01-21,1,0.26865671641791045
185,2021-01-22,1,0.2896174863387978
186,2021-01-23,1,0.35507246376811596
187,2021-01-24,1,0.3053097345132743
188,2021-01-25,1,0.332
189,2021-01-26,1,0.32567049808429116
190,2021-01-27,1,0.30864197530864196
191,2021-01-28,1,0.3333333333333333
192,2021-01-29,1,0.2774566473988439
193,2021-01-30,1,0.3826530612244898
194,2021-01-31,1,0.3321917808219178
