"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2021-W18;40-64;Forventet fuld effekt;35;142393;24,58
2021-W18;40-64;Ikke vaccineret;1835;1596275;114,96
2021-W18;40-64;Påbegyndt vaccinationsforløb;106;167157;63,41
2021-W18;65-79;Forventet fuld effekt;20;137947;14,50
2021-W18;65-79;Ikke vaccineret;79;163332;48,37
2021-W18;65-79;Påbegyndt vaccinationsforløb;168;593905;28,29
2021-W18;80+;Forventet fuld effekt;16;206143;7,76
2021-W18;80+;Ikke vaccineret;4;15267;26,20
2021-W18;80+;Påbegyndt vaccinationsforløb;6;50355;11,92
2021-W19;12-15;Forventet fuld effekt;0;68;0,00
2021-W19;12-15;Ikke vaccineret;468;283513;165,07
2021-W19;12-15;Påbegyndt vaccinationsforløb;0;29;0,00
2021-W19;16-19;Forventet fuld effekt;1;2444;40,92
2021-W19;16-19;Ikke vaccineret;980;273159;358,76
2021-W19;16-19;Påbegyndt vaccinationsforløb;4;2562;156,13
2021-W19;20-39;Forventet fuld effekt;21;57482;36,53
2021-W19;20-39;Ikke vaccineret;2624;1362068;192,65
2021-W19;20-39;Påbegyndt vaccinationsforløb;55;65749;83,65
2021-W19;40-64;Forventet fuld effekt;48;150289;31,94
2021-W19;40-64;Ikke vaccineret;1806;1518734;118,91
2021-W19;40-64;Påbegyndt vaccinationsforløb;143;236802;60,39
2021-W19;65-79;Forventet fuld effekt;18;185503;9,70
2021-W19;65-79;Ikke vaccineret;52;98937;52,56
2021-W19;65-79;Påbegyndt vaccinationsforløb;157;610744;25,71
2021-W19;80+;Forventet fuld effekt;22;228486;9,63
2021-W19;80+;Ikke vaccineret;4;14114;28,34
2021-W19;80+;Påbegyndt vaccinationsforløb;0;29165;0,00
2021-W20;12-15;Forventet fuld effekt;0;71;0,00
2021-W20;12-15;Ikke vaccineret;409;283484;144,28
2021-W20;12-15;Påbegyndt vaccinationsforløb;0;55;0,00
2021-W20;16-19;Forventet fuld effekt;2;2758;72,52
2021-W20;16-19;Ikke vaccineret;957;272973;350,58
2021-W20;16-19;Påbegyndt vaccinationsforløb;4;2434;164,33
2021-W20;20-39;Forventet fuld effekt;31;65209;47,54
2021-W20;20-39;Ikke vaccineret;2654;1359407;195,23
2021-W20;20-39;Påbegyndt vaccinationsforløb;46;60682;75,81
2021-W20;40-64;Forventet fuld effekt;39;166822;23,38
2021-W20;40-64;Ikke vaccineret;1673;1378055;121,40
2021-W20;40-64;Påbegyndt vaccinationsforløb;248;360948;68,71
2021-W20;65-79;Forventet fuld effekt;16;307010;5,21
2021-W20;65-79;Ikke vaccineret;43;67098;64,09
2021-W20;65-79;Påbegyndt vaccinationsforløb;138;521076;26,48
2021-W20;80+;Forventet fuld effekt;3;241557;1,24
2021-W20;80+;Ikke vaccineret;3;13318;22,53
2021-W20;80+;Påbegyndt vaccinationsforløb;1;16890;5,92
2021-W21;12-15;Forventet fuld effekt;0;75;0,00
2021-W21;12-15;Ikke vaccineret;416;283466;146,75
2021-W21;12-15;Påbegyndt vaccinationsforløb;0;69;0,00
2021-W21;16-19;Forventet fuld effekt;0;3154;0,00
2021-W21;16-19;Ikke vaccineret;846;271496;311,61
2021-W21;16-19;Påbegyndt vaccinationsforløb;8;3516;227,56
2021-W21;20-39;Forventet fuld effekt;25;75412;33,15
2021-W21;20-39;Ikke vaccineret;2719;1356718;200,41
2021-W21;20-39;Påbegyndt vaccinationsforløb;44;53167;82,76
2021-W21;40-64;Forventet fuld effekt;45;188892;23,82
2021-W21;40-64;Ikke vaccineret;1461;1166890;125,20
2021-W21;40-64;Påbegyndt vaccinationsforløb;425;550042;77,27
2021-W21;65-79;Forventet fuld effekt;16;449418;3,56
2021-W21;65-79;Ikke vaccineret;21;52724;39,83
2021-W21;65-79;Påbegyndt vaccinationsforløb;68;393041;17,30
2021-W21;80+;Forventet fuld effekt;19;249637;7,61
2021-W21;80+;Ikke vaccineret;1;12660;7,90
2021-W21;80+;Påbegyndt vaccinationsforløb;0;9468;0,00
