"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W06;65-79;Ikke vaccineret;45;861635;5,22
2021-W06;65-79;Påbegyndt vaccinationsforløb;8;25648;31,19
2021-W06;80+;Forventet fuld effekt;1;12313;8,12
2021-W06;80+;Ikke vaccineret;25;220882;11,32
2021-W06;80+;Påbegyndt vaccinationsforløb;9;38570;23,33
2021-W07;12-15;Forventet fuld effekt;0;2;0,00
2021-W07;12-15;Ikke vaccineret;1;283601;0,35
2021-W07;12-15;Påbegyndt vaccinationsforløb;0;7;0,00
2021-W07;16-19;Forventet fuld effekt;0;467;0,00
2021-W07;16-19;Ikke vaccineret;1;276920;0,36
2021-W07;16-19;Påbegyndt vaccinationsforløb;0;777;0,00
2021-W07;20-39;Forventet fuld effekt;0;19128;0,00
2021-W07;20-39;Ikke vaccineret;18;1441465;1,25
2021-W07;20-39;Påbegyndt vaccinationsforløb;0;24705;0,00
2021-W07;40-64;Forventet fuld effekt;0;49442;0,00
2021-W07;40-64;Ikke vaccineret;55;1808242;3,04
2021-W07;40-64;Påbegyndt vaccinationsforløb;0;48141;0,00
2021-W07;65-79;Forventet fuld effekt;1;18241;5,48
2021-W07;65-79;Ikke vaccineret;30;857351;3,50
2021-W07;65-79;Påbegyndt vaccinationsforløb;2;19592;10,21
2021-W07;80+;Forventet fuld effekt;1;26099;3,83
2021-W07;80+;Ikke vaccineret;27;188430;14,33
2021-W07;80+;Påbegyndt vaccinationsforløb;5;57236;8,74
2021-W08;12-15;Forventet fuld effekt;0;2;0,00
2021-W08;12-15;Ikke vaccineret;1;283597;0,35
2021-W08;12-15;Påbegyndt vaccinationsforløb;0;11;0,00
2021-W08;16-19;Forventet fuld effekt;0;637;0,00
2021-W08;16-19;Ikke vaccineret;2;276423;0,72
2021-W08;16-19;Påbegyndt vaccinationsforløb;0;1105;0,00
2021-W08;20-39;Forventet fuld effekt;0;26259;0,00
2021-W08;20-39;Ikke vaccineret;30;1427874;2,10
2021-W08;20-39;Påbegyndt vaccinationsforløb;0;31164;0,00
2021-W08;40-64;Forventet fuld effekt;1;64375;1,55
2021-W08;40-64;Ikke vaccineret;68;1779133;3,82
2021-W08;40-64;Påbegyndt vaccinationsforløb;3;62317;4,81
2021-W08;65-79;Forventet fuld effekt;0;26472;0,00
2021-W08;65-79;Ikke vaccineret;34;844482;4,03
