,group
1425,2
1426,3
1427,3
1428,5
1429,5
1430,2
1431,1
1432,4
1433,1
1434,4
1435,1
1436,1
1437,5
1438,4
1439,0
1440,0
1441,2
1442,3
1443,5
1444,1
1445,0
1446,5
1447,5
1448,4
1449,5
1450,5
1451,2
1452,4
1453,0
1454,5
1455,3
1456,4
1457,4
1458,2
1459,5
1460,3
1461,5
1462,2
1463,0
1464,1
1465,5
1466,3
1467,5
1468,1
1469,0
1470,4
1471,0
1472,4
1473,5
1474,0
1475,5
1476,4
1477,0
1478,5
1479,0
1480,0
1481,0
1482,4
1483,0
1484,5
1485,1
1486,1
1487,1
1488,0
1489,0
1490,3
1491,5
1492,0
1493,1
1494,5
1495,5
1496,1
1497,1
1498,1
1499,4
1500,5
1501,0
1502,4
1503,5
1504,1
1505,1
1506,5
1507,0
1508,4
1509,3
1510,4
1511,5
1512,4
1513,0
1514,2
1515,1
1516,5
1517,5
1518,3
1519,2
1520,5
1521,5
1522,1
1523,0
1524,5
1525,4
1526,1
1527,0
1528,3
1529,0
1530,2
1531,1
1532,5
1533,5
1534,1
1535,5
1536,5
1537,5
1538,4
1539,4
1540,1
1541,5
1542,1
1543,2
1544,3
1545,2
1546,0
1547,4
1548,4
1549,4
1550,5
1551,5
1552,2
1553,0
1554,1
1555,5
1556,0
1557,5
1558,2
1559,0
1560,0
1561,4
1562,4
1563,1
1564,2
1565,2
1566,2
1567,4
1568,0
1569,5
1570,4
1571,3
1572,2
1573,0
1574,2
1575,2
1576,5
1577,5
1578,5
1579,5
1580,2
1581,1
1582,3
1583,3
1584,4
1585,1
1586,3
1587,0
1588,4
1589,4
1590,3
1591,5
1592,1
1593,0
1594,1
1595,2
1596,0
1597,5
1598,5
1599,2
1600,2
1601,2
1602,5
1603,4
1604,4
1605,4
1606,3
1607,5
1608,1
1609,0
1610,2
1611,5
1612,3
1613,3
1614,5
1615,5
1616,1
1617,5
1618,4
1619,0
1620,3
1621,4
1622,4
1623,5
1624,4
1625,0
1626,2
1627,3
1628,1
1629,0
1630,4
1631,4
1632,0
1633,1
1634,5
1635,1
1636,5
1637,5
1638,1
1639,1
1640,5
1641,2
1642,5
1643,0
1644,5
1645,2
1646,1
1647,5
1648,5
1649,5
1650,2
1651,2
1652,5
1653,0
1654,1
1655,5
1656,4
1657,3
1658,0
1659,4
1660,1
1661,4
1662,0
1663,5
1664,2
1665,5
1666,0
1667,2
1668,5
1669,1
1670,4
1671,1
1672,4
1673,2
1674,5
1675,1
1676,2
1677,0
1678,4
1679,1
1680,5
1681,0
1682,1
1683,0
1684,0
1685,4
1686,1
1687,4
1688,1
1689,1
1690,4
1691,5
1692,0
1693,0
1694,5
1695,1
1696,2
1697,2
1698,0
