"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
615;16-19;386;2022-01-31
621;16-19;347;2022-01-31
630;16-19;451;2022-01-31
657;16-19;356;2022-01-31
661;16-19;186;2022-01-31
665;16-19;67;2022-01-31
671;16-19;69;2022-01-31
706;16-19;163;2022-01-31
707;16-19;127;2022-01-31
710;16-19;256;2022-01-31
727;16-19;82;2022-01-31
730;16-19;353;2022-01-31
740;16-19;428;2022-01-31
741;16-19;6;2022-01-31
746;16-19;299;2022-01-31
751;16-19;1051;2022-01-31
756;16-19;211;2022-01-31
760;16-19;225;2022-01-31
766;16-19;204;2022-01-31
773;16-19;69;2022-01-31
779;16-19;177;2022-01-31
787;16-19;177;2022-01-31
791;16-19;337;2022-01-31
810;16-19;160;2022-01-31
813;16-19;225;2022-01-31
820;16-19;130;2022-01-31
825;16-19;6;2022-01-31
840;16-19;139;2022-01-31
846;16-19;213;2022-01-31
849;16-19;168;2022-01-31
851;16-19;729;2022-01-31
860;16-19;276;2022-01-31
;20-39;319;2022-01-31
011;20-39;115;2022-01-31
012;20-39;2;2022-01-31
019;20-39;28;2022-01-31
101;20-39;10451;2022-01-31
147;20-39;1416;2022-01-31
151;20-39;710;2022-01-31
153;20-39;459;2022-01-31
155;20-39;96;2022-01-31
157;20-39;648;2022-01-31
159;20-39;828;2022-01-31
161;20-39;278;2022-01-31
163;20-39;355;2022-01-31
165;20-39;292;2022-01-31
167;20-39;702;2022-01-31
169;20-39;706;2022-01-31
173;20-39;622;2022-01-31
175;20-39;547;2022-01-31
183;20-39;325;2022-01-31
185;20-39;484;2022-01-31
187;20-39;224;2022-01-31
190;20-39;460;2022-01-31
201;20-39;294;2022-01-31
210;20-39;425;2022-01-31
217;20-39;650;2022-01-31
219;20-39;716;2022-01-31
223;20-39;196;2022-01-31
230;20-39;510;2022-01-31
240;20-39;515;2022-01-31
250;20-39;580;2022-01-31
253;20-39;585;2022-01-31
259;20-39;773;2022-01-31
260;20-39;318;2022-01-31
265;20-39;1043;2022-01-31
269;20-39;327;2022-01-31
270;20-39;329;2022-01-31
306;20-39;240;2022-01-31
316;20-39;868;2022-01-31
320;20-39;465;2022-01-31
326;20-39;459;2022-01-31
329;20-39;399;2022-01-31
330;20-39;1105;2022-01-31
336;20-39;309;2022-01-31
340;20-39;304;2022-01-31
350;20-39;269;2022-01-31
360;20-39;430;2022-01-31
370;20-39;1131;2022-01-31
376;20-39;889;2022-01-31
390;20-39;503;2022-01-31
400;20-39;445;2022-01-31
410;20-39;426;2022-01-31
420;20-39;466;2022-01-31
430;20-39;612;2022-01-31
440;20-39;279;2022-01-31
450;20-39;396;2022-01-31
461;20-39;3847;2022-01-31
479;20-39;801;2022-01-31
480;20-39;377;2022-01-31
482;20-39;87;2022-01-31
492;20-39;25;2022-01-31
510;20-39;781;2022-01-31
530;20-39;414;2022-01-31
540;20-39;838;2022-01-31
550;20-39;333;2022-01-31
561;20-39;1921;2022-01-31
563;20-39;18;2022-01-31
573;20-39;652;2022-01-31
575;20-39;502;2022-01-31
580;20-39;633;2022-01-31
607;20-39;655;2022-01-31
615;20-39;1371;2022-01-31
621;20-39;1082;2022-01-31
630;20-39;1615;2022-01-31
657;20-39;1301;2022-01-31
661;20-39;833;2022-01-31
665;20-39;168;2022-01-31
671;20-39;209;2022-01-31
706;20-39;440;2022-01-31
707;20-39;394;2022-01-31
710;20-39;658;2022-01-31
727;20-39;217;2022-01-31
730;20-39;1255;2022-01-31
740;20-39;1280;2022-01-31
741;20-39;9;2022-01-31
746;20-39;965;2022-01-31
751;20-39;6403;2022-01-31
756;20-39;479;2022-01-31
760;20-39;554;2022-01-31
766;20-39;520;2022-01-31
773;20-39;180;2022-01-31
779;20-39;341;2022-01-31
787;20-39;378;2022-01-31
791;20-39;902;2022-01-31
810;20-39;430;2022-01-31
813;20-39;611;2022-01-31
820;20-39;371;2022-01-31
825;20-39;3;2022-01-31
840;20-39;412;2022-01-31
846;20-39;445;2022-01-31
849;20-39;395;2022-01-31
851;20-39;3458;2022-01-31
860;20-39;858;2022-01-31
;40-64;258;2022-01-31
011;40-64;131;2022-01-31
012;40-64;1;2022-01-31
019;40-64;38;2022-01-31
101;40-64;7539;2022-01-31
147;40-64;1302;2022-01-31
151;40-64;709;2022-01-31
153;40-64;509;2022-01-31
155;40-64;201;2022-01-31
157;40-64;1288;2022-01-31
159;40-64;1047;2022-01-31
161;40-64;330;2022-01-31
163;40-64;409;2022-01-31
165;40-64;367;2022-01-31
167;40-64;826;2022-01-31
169;40-64;808;2022-01-31
173;40-64;970;2022-01-31
175;40-64;594;2022-01-31
183;40-64;324;2022-01-31
185;40-64;641;2022-01-31
187;40-64;281;2022-01-31
190;40-64;811;2022-01-31
201;40-64;477;2022-01-31
210;40-64;657;2022-01-31
217;40-64;1050;2022-01-31
219;40-64;900;2022-01-31
223;40-64;412;2022-01-31
230;40-64;1032;2022-01-31
240;40-64;715;2022-01-31
250;40-64;822;2022-01-31
253;40-64;908;2022-01-31
259;40-64;899;2022-01-31
260;40-64;495;2022-01-31
265;40-64;1500;2022-01-31
269;40-64;403;2022-01-31
270;40-64;594;2022-01-31
306;40-64;326;2022-01-31
316;40-64;989;2022-01-31
320;40-64;518;2022-01-31
326;40-64;558;2022-01-31
329;40-64;489;2022-01-31
330;40-64;1050;2022-01-31
336;40-64;392;2022-01-31
340;40-64;402;2022-01-31
350;40-64;496;2022-01-31
360;40-64;504;2022-01-31
370;40-64;1302;2022-01-31
376;40-64;1099;2022-01-31
390;40-64;761;2022-01-31
