"Dato";"Døde";"Kumuleret antal døde"
2020-08-04;0;616
2020-08-05;1;617
2020-08-06;0;617
2020-08-07;0;617
2020-08-08;1;618
2020-08-09;2;620
2020-08-10;1;621
2020-08-11;0;621
2020-08-12;0;621
2020-08-13;0;621
2020-08-14;0;621
2020-08-15;0;621
2020-08-16;0;621
2020-08-17;0;621
2020-08-18;0;621
2020-08-19;0;621
2020-08-20;0;621
2020-08-21;1;622
2020-08-22;1;623
2020-08-23;0;623
2020-08-24;0;623
2020-08-25;1;624
2020-08-26;0;624
2020-08-27;0;624
2020-08-28;0;624
2020-08-29;0;624
2020-08-30;0;624
2020-08-31;2;626
2020-09-01;0;626
2020-09-02;0;626
2020-09-03;1;627
2020-09-04;0;627
2020-09-05;0;627
2020-09-06;1;628
2020-09-07;0;628
2020-09-08;0;628
2020-09-09;1;629
2020-09-10;0;629
2020-09-11;1;630
2020-09-12;1;631
2020-09-13;2;633
2020-09-14;0;633
2020-09-15;1;634
2020-09-16;1;635
2020-09-17;0;635
2020-09-18;0;635
2020-09-19;3;638
2020-09-20;3;641
2020-09-21;1;642
2020-09-22;2;644
2020-09-23;1;645
2020-09-24;2;647
2020-09-25;1;648
2020-09-26;1;649
2020-09-27;0;649
2020-09-28;1;650
2020-09-29;1;651
2020-09-30;0;651
2020-10-01;2;653
2020-10-02;2;655
2020-10-03;3;658
2020-10-04;3;661
2020-10-05;2;663
2020-10-06;0;663
2020-10-07;1;664
2020-10-08;3;667
2020-10-09;1;668
2020-10-10;3;671
2020-10-11;2;673
2020-10-12;3;676
2020-10-13;1;677
2020-10-14;1;678
2020-10-15;0;678
2020-10-16;2;680
2020-10-17;5;685
2020-10-18;3;688
2020-10-19;1;689
2020-10-20;3;692
2020-10-21;4;696
2020-10-22;4;700
2020-10-23;5;705
2020-10-24;3;708
2020-10-25;3;711
2020-10-26;3;714
2020-10-27;2;716
2020-10-28;3;719
2020-10-29;2;721
2020-10-30;1;722
2020-10-31;2;724
2020-11-01;1;725
2020-11-02;4;729
2020-11-03;3;732
2020-11-04;5;737
2020-11-05;3;740
2020-11-06;4;744
2020-11-07;1;745
2020-11-08;4;749
2020-11-09;4;753
2020-11-10;2;755
2020-11-11;1;756
2020-11-12;1;757
2020-11-13;1;758
2020-11-14;5;763
2020-11-15;3;766
2020-11-16;4;770
2020-11-17;3;773
2020-11-18;5;778
2020-11-19;3;781
2020-11-20;4;785
2020-11-21;5;790
2020-11-22;6;796
2020-11-23;3;799
2020-11-24;6;805
2020-11-25;8;813
2020-11-26;4;817
2020-11-27;8;825
2020-11-28;6;831
2020-11-29;11;842
2020-11-30;7;849
2020-12-01;10;859
2020-12-02;6;865
2020-12-03;11;876
2020-12-04;7;883
2020-12-05;10;893
2020-12-06;9;902
2020-12-07;6;908
2020-12-08;7;915
2020-12-09;10;925
2020-12-10;7;932
2020-12-11;7;939
2020-12-12;8;947
2020-12-13;11;958
2020-12-14;11;969
2020-12-15;16;985
2020-12-16;14;999
2020-12-17;15;1014
2020-12-18;11;1025
2020-12-19;20;1045
2020-12-20;19;1064
2020-12-21;19;1083
2020-12-22;21;1104
2020-12-23;19;1123
2020-12-24;22;1145
2020-12-25;21;1166
2020-12-26;26;1192
2020-12-27;29;1221
2020-12-28;25;1246
2020-12-29;32;1278
2020-12-30;28;1306
2020-12-31;33;1339
2021-01-01;21;1360
2021-01-02;33;1393
2021-01-03;28;1421
2021-01-04;27;1448
2021-01-05;21;1469
2021-01-06;36;1505
2021-01-07;29;1534
2021-01-08;26;1560
2021-01-09;23;1583
2021-01-10;36;1619
2021-01-11;25;1644
2021-01-12;38;1682
2021-01-13;30;1712
2021-01-14;29;1741
2021-01-15;26;1767
2021-01-16;31;1798
2021-01-17;29;1827
2021-01-18;29;1856
2021-01-19;39;1895
2021-01-20;29;1924
2021-01-21;27;1951
2021-01-22;24;1975
2021-01-23;26;2001
2021-01-24;20;2021
2021-01-25;25;2046
2021-01-26;20;2066
2021-01-27;17;2083
2021-01-28;19;2102
2021-01-29;19;2121
2021-01-30;19;2140
2021-01-31;16;2156
2021-02-01;13;2169
2021-02-02;10;2179
2021-02-03;17;2196
2021-02-04;14;2210
2021-02-05;11;2221
2021-02-06;7;2228
2021-02-07;8;2236
2021-02-08;13;2249
2021-02-09;16;2265
2021-02-10;12;2277
2021-02-11;9;2286
2021-02-12;7;2293
2021-02-13;9;2302
2021-02-14;5;2307
2021-02-15;7;2314
2021-02-16;3;2317
2021-02-17;6;2323
2021-02-18;9;2332
2021-02-19;4;2336
2021-02-20;5;2341
2021-02-21;5;2346
2021-02-22;0;2346
2021-02-23;2;2348
2021-02-24;7;2355
2021-02-25;1;2356
2021-02-26;4;2360
2021-02-27;4;2364
2021-02-28;3;2367
2021-03-01;1;2368
2021-03-02;4;2372
2021-03-03;3;2375
2021-03-04;2;2377
2021-03-05;0;2377
2021-03-06;2;2379
2021-03-07;2;2381
2021-03-08;0;2381
2021-03-09;2;2383
2021-03-10;3;2386
2021-03-11;3;2389
2021-03-12;2;2391
2021-03-13;1;2392
2021-03-14;2;2394
2021-03-15;2;2396
2021-03-16;0;2396
2021-03-17;2;2398
2021-03-18;0;2398
2021-03-19;3;2401
2021-03-20;0;2401
2021-03-21;1;2402
2021-03-22;1;2403
2021-03-23;1;2404
2021-03-24;8;2412
2021-03-25;0;2412
2021-03-26;2;2414
2021-03-27;1;2415
2021-03-28;0;2415
2021-03-29;1;2416
2021-03-30;3;2419
2021-03-31;4;2423
2021-04-01;1;2424
2021-04-02;4;2428
2021-04-03;1;2429
2021-04-04;1;2430
2021-04-05;3;2433
2021-04-06;1;2434
2021-04-07;1;2435
2021-04-08;2;2437
2021-04-09;2;2439
2021-04-10;2;2441
2021-04-11;3;2444
2021-04-12;3;2447
2021-04-13;0;2447
2021-04-14;2;2449
2021-04-15;2;2451
2021-04-16;5;2456
2021-04-17;3;2459
2021-04-18;3;2462
2021-04-19;2;2464
2021-04-20;3;2467
2021-04-21;4;2471
2021-04-22;3;2474
2021-04-23;1;2475
2021-04-24;2;2477
2021-04-25;1;2478
2021-04-26;1;2479
2021-04-27;3;2482
2021-04-28;2;2484
2021-04-29;2;2486
2021-04-30;3;2489
2021-05-01;1;2490
2021-05-02;1;2491
2021-05-03;0;2491
2021-05-04;2;2493
2021-05-05;1;2494
2021-05-06;1;2495
2021-05-07;2;2497
2021-05-08;0;2497
2021-05-09;0;2497
2021-05-10;2;2499
2021-05-11;0;2499
2021-05-12;0;2499
2021-05-13;0;2499
2021-05-14;3;2502
2021-05-15;1;2503
2021-05-16;1;2504
2021-05-17;1;2505
2021-05-18;0;2505
2021-05-19;1;2506
2021-05-20;0;2506
2021-05-21;1;2507
2021-05-22;1;2508
2021-05-23;1;2509
2021-05-24;1;2510
2021-05-25;1;2511
2021-05-26;2;2513
2021-05-27;1;2514
2021-05-28;2;2516
2021-05-29;0;2516
2021-05-30;0;2516
2021-05-31;0;2516
2021-06-01;1;2517
2021-06-02;0;2517
2021-06-03;0;2517
2021-06-04;1;2518
2021-06-05;0;2518
2021-06-06;2;2520
2021-06-07;0;2520
2021-06-08;0;2520
2021-06-09;3;2523
2021-06-10;2;2525
2021-06-11;1;2526
2021-06-12;0;2526
2021-06-13;1;2527
2021-06-14;2;2529
2021-06-15;0;2529
2021-06-16;0;2529
2021-06-17;0;2529
2021-06-18;1;2530
2021-06-19;1;2531
2021-06-20;0;2531
2021-06-21;0;2531
2021-06-22;0;2531
2021-06-23;0;2531
2021-06-24;0;2531
2021-06-25;1;2532
2021-06-26;1;2533
2021-06-27;1;2534
2021-06-28;1;2535
2021-06-29;0;2535
2021-06-30;0;2535
2021-07-01;2;2537
2021-07-02;0;2537
2021-07-03;0;2537
2021-07-04;1;2538
2021-07-05;0;2538
2021-07-06;0;2538
2021-07-07;0;2538
2021-07-08;0;2538
2021-07-09;1;2539
2021-07-10;0;2539
2021-07-11;0;2539
2021-07-12;0;2539
2021-07-13;0;2539
2021-07-14;2;2541
2021-07-15;1;2542
2021-07-16;0;2542
2021-07-17;0;2542
2021-07-18;0;2542
2021-07-19;0;2542
2021-07-20;1;2543
2021-07-21;0;2543
2021-07-22;0;2543
2021-07-23;0;2543
2021-07-24;0;2543
2021-07-25;2;2545
2021-07-26;2;2547
2021-07-27;0;2547
2021-07-28;1;2548
2021-07-29;1;2549
2021-07-30;0;2549
2021-07-31;1;2550
2021-08-01;0;2550
2021-08-02;0;2550
2021-08-03;1;2551
2021-08-04;1;2552
2021-08-05;0;2552
2021-08-06;0;2552
2021-08-07;1;2553
2021-08-08;1;2554
2021-08-09;1;2555
2021-08-10;2;2557
2021-08-11;0;2557
2021-08-12;3;2560
2021-08-13;1;2561
2021-08-14;0;2561
2021-08-15;1;2562
2021-08-16;1;2563
2021-08-17;1;2564
2021-08-18;1;2565
2021-08-19;1;2566
2021-08-20;1;2567
2021-08-21;2;2569
2021-08-22;1;2570
2021-08-23;2;2572
2021-08-24;1;2573
2021-08-25;1;2574
2021-08-26;2;2576
2021-08-27;3;2579
2021-08-28;2;2581
2021-08-29;2;2583
2021-08-30;1;2584
2021-08-31;0;2584
2021-09-01;1;2585
2021-09-02;4;2589
2021-09-03;1;2590
2021-09-04;0;2590
2021-09-05;2;2592
2021-09-06;4;2596
2021-09-07;4;2600
2021-09-08;6;2606
2021-09-09;4;2610
2021-09-10;2;2612
2021-09-11;1;2613
2021-09-12;2;2615
2021-09-13;0;2615
2021-09-14;3;2618
2021-09-15;3;2621
2021-09-16;4;2625
2021-09-17;1;2626
2021-09-18;3;2629
2021-09-19;3;2632
2021-09-20;3;2635
2021-09-21;1;2636
2021-09-22;4;2640
2021-09-23;2;2642
2021-09-24;2;2644
2021-09-25;3;2647
2021-09-26;2;2649
2021-09-27;5;2654
2021-09-28;2;2656
2021-09-29;2;2658
2021-09-30;3;2661
2021-10-01;3;2664
2021-10-02;1;2665
2021-10-03;0;2665
2021-10-04;0;2665
2021-10-05;2;2667
2021-10-06;2;2669
2021-10-07;2;2671
2021-10-08;0;2671
2021-10-09;2;2673
2021-10-10;2;2675
2021-10-11;2;2677
2021-10-12;0;2677
2021-10-13;4;2681
2021-10-14;1;2682
2021-10-15;2;2684
2021-10-16;3;2687
2021-10-17;4;2691
2021-10-18;1;2692
2021-10-19;3;2695
2021-10-20;2;2697
2021-10-21;2;2699
2021-10-22;1;2700
2021-10-23;1;2701
2021-10-24;0;2701
2021-10-25;4;2705
2021-10-26;3;2708
2021-10-27;2;2710
2021-10-28;1;2711
2021-10-29;4;2715
2021-10-30;3;2718
2021-10-31;2;2720
2021-11-01;0;2720
2021-11-02;3;2723
2021-11-03;3;2726
2021-11-04;8;2734
2021-11-05;3;2737
2021-11-06;4;2741
2021-11-07;4;2745
2021-11-08;1;2746
2021-11-09;3;2749
2021-11-10;4;2753
2021-11-11;4;2757
2021-11-12;6;2763
2021-11-13;9;2772
2021-11-14;6;2778
2021-11-15;9;2787
2021-11-16;4;2791
2021-11-17;3;2794
2021-11-18;8;2802
2021-11-19;8;2810
2021-11-20;4;2814
2021-11-21;4;2818
2021-11-22;7;2825
2021-11-23;11;2836
2021-11-24;10;2846
2021-11-25;12;2858
2021-11-26;12;2870
2021-11-27;9;2879
2021-11-28;15;2894
2021-11-29;9;2903
2021-11-30;13;2916
2021-12-01;5;2921
2021-12-02;13;2934
2021-12-03;12;2946
2021-12-04;9;2955
2021-12-05;7;2962
2021-12-06;9;2971
2021-12-07;7;2978
2021-12-08;16;2994
2021-12-09;8;3002
2021-12-10;9;3011
2021-12-11;11;3022
2021-12-12;7;3029
2021-12-13;10;3039
2021-12-14;7;3046
2021-12-15;11;3057
2021-12-16;10;3067
2021-12-17;14;3081
2021-12-18;12;3093
2021-12-19;13;3106
2021-12-20;12;3118
2021-12-21;11;3129
2021-12-22;14;3143
2021-12-23;18;3161
2021-12-24;10;3171
2021-12-25;11;3182
2021-12-26;10;3192
2021-12-27;8;3200
2021-12-28;11;3211
2021-12-29;9;3220
2021-12-30;9;3229
2021-12-31;11;3240
2022-01-01;12;3252
2022-01-02;10;3262
2022-01-03;15;3277
2022-01-04;15;3292
2022-01-05;16;3308
2022-01-06;16;3324
2022-01-07;17;3341
2022-01-08;14;3355
2022-01-09;16;3371
2022-01-10;17;3388
2022-01-11;18;3406
2022-01-12;17;3423
2022-01-13;15;3438
2022-01-14;13;3451
2022-01-15;9;3460
2022-01-16;17;3477
2022-01-17;11;3488
2022-01-18;8;3496
2022-01-19;25;3521
2022-01-20;22;3543
2022-01-21;20;3563
2022-01-22;10;3573
2022-01-23;15;3588
2022-01-24;15;3603
2022-01-25;21;3624
2022-01-26;19;3643
2022-01-27;16;3659
2022-01-28;18;3677
2022-01-29;16;3693
2022-01-30;11;3704
2022-01-31;0;3704
