"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
450;Nyborg;20-29;750;2022-01-31
461;Odense;20-29;13173;2022-01-31
479;Svendborg;20-29;1686;2022-01-31
480;Nordfyn;20-29;657;2022-01-31
482;Langeland;20-29;154;2022-01-31
492;Ærø;20-29;83;2022-01-31
510;Haderslev;20-29;1511;2022-01-31
530;Billund;20-29;658;2022-01-31
540;Sønderborg;20-29;1807;2022-01-31
550;Tønder;20-29;811;2022-01-31
561;Esbjerg;20-29;4465;2022-01-31
563;Fanø;20-29;28;2022-01-31
573;Varde;20-29;1234;2022-01-31
575;Vejen;20-29;1141;2022-01-31
580;Aabenraa;20-29;1392;2022-01-31
607;Fredericia;20-29;1496;2022-01-31
615;Horsens;20-29;3385;2022-01-31
621;Kolding;20-29;2938;2022-01-31
630;Vejle;20-29;3990;2022-01-31
657;Herning;20-29;2981;2022-01-31
661;Holstebro;20-29;2192;2022-01-31
665;Lemvig;20-29;477;2022-01-31
671;Struer;20-29;436;2022-01-31
706;Syddjurs;20-29;702;2022-01-31
707;Norddjurs;20-29;807;2022-01-31
710;Favrskov;20-29;967;2022-01-31
727;Odder;20-29;423;2022-01-31
730;Randers;20-29;3180;2022-01-31
740;Silkeborg;20-29;2605;2022-01-31
741;Samsø;20-29;30;2022-01-31
746;Skanderborg;20-29;1298;2022-01-31
751;Århus;20-29;29346;2022-01-31
756;Ikast-Brande;20-29;1044;2022-01-31
760;Ringkøbing-Skjern;20-29;1298;2022-01-31
766;Hedensted;20-29;1093;2022-01-31
773;Morsø;20-29;510;2022-01-31
779;Skive;20-29;1185;2022-01-31
787;Thisted;20-29;967;2022-01-31
791;Viborg;20-29;2589;2022-01-31
810;Brønderslev;20-29;834;2022-01-31
813;Frederikshavn;20-29;1353;2022-01-31
820;Vesthimmerland;20-29;871;2022-01-31
825;Læsø;20-29;11;2022-01-31
840;Rebild;20-29;605;2022-01-31
846;Mariagerfjord;20-29;1049;2022-01-31
849;Jammerbugt;20-29;799;2022-01-31
851;Aalborg;20-29;13682;2022-01-31
860;Hjørring;20-29;1694;2022-01-31
956;;20-29;1;2022-01-31
;;30-39;1717;2022-01-31
011;;30-39;685;2022-01-31
012;;30-39;15;2022-01-31
019;;30-39;141;2022-01-31
101;København;30-39;48057;2022-01-31
147;Frederiksberg;30-39;6281;2022-01-31
151;Ballerup;30-39;2858;2022-01-31
153;Brøndby;30-39;2415;2022-01-31
155;Dragør;30-39;640;2022-01-31
157;Gentofte;30-39;2855;2022-01-31
159;Gladsaxe;30-39;3952;2022-01-31
161;Glostrup;30-39;1580;2022-01-31
163;Herlev;30-39;1813;2022-01-31
165;Albertslund;30-39;1595;2022-01-31
167;Hvidovre;30-39;3574;2022-01-31
169;Høje Tåstrup;30-39;3483;2022-01-31
173;Lyngby-Taarbæk;30-39;2302;2022-01-31
175;Rødovre;30-39;2735;2022-01-31
183;Ishøj;30-39;1731;2022-01-31
185;Tårnby;30-39;2415;2022-01-31
187;Vallensbæk;30-39;1174;2022-01-31
190;Furesø;30-39;1786;2022-01-31
201;Allerød;30-39;1078;2022-01-31
210;Fredensborg;30-39;1839;2022-01-31
217;Helsingør;30-39;2523;2022-01-31
219;Hillerød;30-39;2390;2022-01-31
223;Hørsholm;30-39;906;2022-01-31
230;Rudersdal;30-39;2085;2022-01-31
240;Egedal;30-39;2294;2022-01-31
250;Frederikssund;30-39;1714;2022-01-31
253;Greve;30-39;2749;2022-01-31
259;Køge;30-39;2817;2022-01-31
260;Halsnæs;30-39;1149;2022-01-31
265;Roskilde;30-39;3681;2022-01-31
269;Solrød;30-39;1366;2022-01-31
270;Gribskov;30-39;1308;2022-01-31
306;Odsherred;30-39;788;2022-01-31
316;Holbæk;30-39;2917;2022-01-31
320;Faxe;30-39;1486;2022-01-31
326;Kalundborg;30-39;1411;2022-01-31
329;Ringsted;30-39;1557;2022-01-31
330;Slagelse;30-39;3197;2022-01-31
336;Stevns;30-39;867;2022-01-31
340;Sorø;30-39;875;2022-01-31
350;Lejre;30-39;1172;2022-01-31
360;Lolland;30-39;1273;2022-01-31
370;Næstved;30-39;3033;2022-01-31
376;Guldborgsund;30-39;2221;2022-01-31
390;Vordingborg;30-39;1574;2022-01-31
400;Bornholm;30-39;1035;2022-01-31
410;Middelfart;30-39;1060;2022-01-31
420;Assens;30-39;1157;2022-01-31
430;Faaborg-Midtfyn;30-39;1618;2022-01-31
440;Kerteminde;30-39;745;2022-01-31
450;Nyborg;30-39;1028;2022-01-31
461;Odense;30-39;8962;2022-01-31
479;Svendborg;30-39;1851;2022-01-31
480;Nordfyn;30-39;914;2022-01-31
482;Langeland;30-39;259;2022-01-31
492;Ærø;30-39;59;2022-01-31
510;Haderslev;30-39;1719;2022-01-31
530;Billund;30-39;936;2022-01-31
540;Sønderborg;30-39;2105;2022-01-31
550;Tønder;30-39;1052;2022-01-31
561;Esbjerg;30-39;4630;2022-01-31
563;Fanø;30-39;68;2022-01-31
573;Varde;30-39;1741;2022-01-31
575;Vejen;30-39;1416;2022-01-31
580;Aabenraa;30-39;1650;2022-01-31
607;Fredericia;30-39;1791;2022-01-31
615;Horsens;30-39;3704;2022-01-31
621;Kolding;30-39;3126;2022-01-31
630;Vejle;30-39;4567;2022-01-31
657;Herning;30-39;3322;2022-01-31
661;Holstebro;30-39;2254;2022-01-31
665;Lemvig;30-39;499;2022-01-31
671;Struer;30-39;543;2022-01-31
706;Syddjurs;30-39;1151;2022-01-31
707;Norddjurs;30-39;952;2022-01-31
710;Favrskov;30-39;1767;2022-01-31
727;Odder;30-39;654;2022-01-31
730;Randers;30-39;3368;2022-01-31
740;Silkeborg;30-39;3796;2022-01-31
741;Samsø;30-39;39;2022-01-31
746;Skanderborg;30-39;2695;2022-01-31
751;Århus;30-39;15027;2022-01-31
756;Ikast-Brande;30-39;1324;2022-01-31
760;Ringkøbing-Skjern;30-39;1476;2022-01-31
766;Hedensted;30-39;1410;2022-01-31
773;Morsø;30-39;590;2022-01-31
779;Skive;30-39;1189;2022-01-31
787;Thisted;30-39;1164;2022-01-31
791;Viborg;30-39;2978;2022-01-31
810;Brønderslev;30-39;1235;2022-01-31
813;Frederikshavn;30-39;1797;2022-01-31
820;Vesthimmerland;30-39;1195;2022-01-31
825;Læsø;30-39;8;2022-01-31
840;Rebild;30-39;1272;2022-01-31
846;Mariagerfjord;30-39;1320;2022-01-31
849;Jammerbugt;30-39;1156;2022-01-31
851;Aalborg;30-39;7829;2022-01-31
860;Hjørring;30-39;2040;2022-01-31
956;;30-39;1;2022-01-31
961;;30-39;1;2022-01-31
;;40-49;1369;2022-01-31
011;;40-49;602;2022-01-31
012;;40-49;14;2022-01-31
019;;40-49;169;2022-01-31
101;København;40-49;34203;2022-01-31
147;Frederiksberg;40-49;5527;2022-01-31
151;Ballerup;40-49;2746;2022-01-31
153;Brøndby;40-49;2111;2022-01-31
155;Dragør;40-49;931;2022-01-31
157;Gentofte;40-49;4429;2022-01-31
159;Gladsaxe;40-49;4067;2022-01-31
161;Glostrup;40-49;1337;2022-01-31
163;Herlev;40-49;1795;2022-01-31
165;Albertslund;40-49;1731;2022-01-31
167;Hvidovre;40-49;3648;2022-01-31
169;Høje Tåstrup;40-49;3119;2022-01-31
173;Lyngby-Taarbæk;40-49;3052;2022-01-31
175;Rødovre;40-49;2695;2022-01-31
183;Ishøj;40-49;1470;2022-01-31
185;Tårnby;40-49;2848;2022-01-31
187;Vallensbæk;40-49;1122;2022-01-31
190;Furesø;40-49;2359;2022-01-31
201;Allerød;40-49;1312;2022-01-31
210;Fredensborg;40-49;2120;2022-01-31
217;Helsingør;40-49;3097;2022-01-31
219;Hillerød;40-49;2640;2022-01-31
223;Hørsholm;40-49;1336;2022-01-31
230;Rudersdal;40-49;3178;2022-01-31
240;Egedal;40-49;2549;2022-01-31
250;Frederikssund;40-49;2122;2022-01-31
253;Greve;40-49;3035;2022-01-31
259;Køge;40-49;2968;2022-01-31
260;Halsnæs;40-49;1396;2022-01-31
265;Roskilde;40-49;4476;2022-01-31
269;Solrød;40-49;1379;2022-01-31
270;Gribskov;40-49;1715;2022-01-31
306;Odsherred;40-49;903;2022-01-31
316;Holbæk;40-49;2824;2022-01-31
320;Faxe;40-49;1483;2022-01-31
326;Kalundborg;40-49;1610;2022-01-31
329;Ringsted;40-49;1662;2022-01-31
330;Slagelse;40-49;3079;2022-01-31
336;Stevns;40-49;977;2022-01-31
340;Sorø;40-49;1045;2022-01-31
350;Lejre;40-49;1422;2022-01-31
360;Lolland;40-49;1400;2022-01-31
370;Næstved;40-49;3328;2022-01-31
376;Guldborgsund;40-49;2323;2022-01-31
390;Vordingborg;40-49;1680;2022-01-31
400;Bornholm;40-49;1151;2022-01-31
410;Middelfart;40-49;1303;2022-01-31
420;Assens;40-49;1315;2022-01-31
430;Faaborg-Midtfyn;40-49;1703;2022-01-31
440;Kerteminde;40-49;745;2022-01-31
450;Nyborg;40-49;1125;2022-01-31
461;Odense;40-49;7802;2022-01-31
479;Svendborg;40-49;2043;2022-01-31
480;Nordfyn;40-49;1075;2022-01-31
482;Langeland;40-49;265;2022-01-31
492;Ærø;40-49;90;2022-01-31
510;Haderslev;40-49;1818;2022-01-31
530;Billund;40-49;903;2022-01-31
540;Sønderborg;40-49;2196;2022-01-31
550;Tønder;40-49;1041;2022-01-31
561;Esbjerg;40-49;4203;2022-01-31
563;Fanø;40-49;95;2022-01-31
573;Varde;40-49;1709;2022-01-31
575;Vejen;40-49;1606;2022-01-31
580;Aabenraa;40-49;1791;2022-01-31
607;Fredericia;40-49;1831;2022-01-31
615;Horsens;40-49;3541;2022-01-31
621;Kolding;40-49;3249;2022-01-31
630;Vejle;40-49;4461;2022-01-31
657;Herning;40-49;3223;2022-01-31
661;Holstebro;40-49;2232;2022-01-31
665;Lemvig;40-49;517;2022-01-31
671;Struer;40-49;624;2022-01-31
706;Syddjurs;40-49;1255;2022-01-31
707;Norddjurs;40-49;864;2022-01-31
710;Favrskov;40-49;2085;2022-01-31
727;Odder;40-49;753;2022-01-31
730;Randers;40-49;3585;2022-01-31
740;Silkeborg;40-49;3599;2022-01-31
741;Samsø;40-49;45;2022-01-31
746;Skanderborg;40-49;2897;2022-01-31
751;Århus;40-49;12358;2022-01-31
756;Ikast-Brande;40-49;1405;2022-01-31
760;Ringkøbing-Skjern;40-49;1562;2022-01-31
766;Hedensted;40-49;1555;2022-01-31
773;Morsø;40-49;576;2022-01-31
779;Skive;40-49;1355;2022-01-31
787;Thisted;40-49;1157;2022-01-31
791;Viborg;40-49;3418;2022-01-31
810;Brønderslev;40-49;1190;2022-01-31
813;Frederikshavn;40-49;1833;2022-01-31
820;Vesthimmerland;40-49;1146;2022-01-31
825;Læsø;40-49;18;2022-01-31
840;Rebild;40-49;1061;2022-01-31
846;Mariagerfjord;40-49;1474;2022-01-31
849;Jammerbugt;40-49;1264;2022-01-31
851;Aalborg;40-49;7032;2022-01-31
860;Hjørring;40-49;2153;2022-01-31
