Date;Number_of_deaths;Cumulative_number_of_deaths;Confirmed_cases;Admissions_hospital;7day_r_value
2020-09-18;0;635;475;14;1.2684036393713813
2020-09-19;3;638;416;24;1.1888556469708302
2020-09-20;3;641;408;19;1.1810131066241587
2020-09-21;1;642;535;21;1.1808943089430894
2020-09-22;2;644;587;14;1.1698728399087055
2020-09-23;1;645;651;24;1.154451085246933
2020-09-24;2;647;598;26;1.1046790641871627
2020-09-25;1;648;488;18;1.0499139414802066
2020-09-26;1;649;393;12;1.0058528428093645
2020-09-27;0;649;357;19;0.9686648501362398
2020-09-28;1;650;481;21;0.9277762693456422
2020-09-29;1;651;449;14;0.8743169398907104
2020-09-30;0;651;434;20;0.8392906622333056
2020-10-01;2;653;427;23;0.8177215189873418
2020-10-02;2;655;366;19;0.8346502780216565
2020-10-03;3;658;338;11;0.8753125
2020-10-04;3;661;306;21;0.9068999669858039
2020-10-05;2;663;427;30;0.9370485036119711
2020-10-06;0;663;426;10;0.9614305750350631
2020-10-07;1;664;452;16;0.9771510174937522
2020-10-08;3;667;422;9;1.0127411721878412
2020-10-09;1;668;411;15;1.000367107195301
2020-10-10;3;671;281;15;0.975565280816922
2020-10-11;2;673;256;14;0.9883083668249909
2020-10-12;3;676;457;24;0.9719626168224299
2020-10-13;1;677;425;19;0.9985321100917431
2020-10-14;1;678;469;22;1.0272897196261683
2020-10-15;0;678;449;21;1.035489833641405
2020-10-16;2;680;464;21;1.0913461538461537
2020-10-17;5;685;431;15;1.1561925762587284
2020-10-18;3;688;451;24;1.2285298398835516
2020-10-19;1;689;687;25;1.3320242770439128
2020-10-20;3;692;780;19;1.3924093527617756
2020-10-21;4;696;847;25;1.438652256834075
2020-10-22;4;700;866;18;1.4579383886255923
2020-10-23;5;705;860;27;1.4232109354060574
2020-10-24;3;708;819;22;1.405451448040886
2020-10-25;3;711;916;27;1.3462218294299602
2020-10-26;3;714;1005;32;1.3315725314912636
2020-10-27;2;716;1241;35;1.3013182674199624
2020-10-28;3;719;1203;30;1.221818181818182
2020-10-29;2;721;1012;37;1.1943213523715739
2020-10-30;1;722;1081;33;1.134269148611535
2020-10-31;2;724;976;40;1.081331403762663
2020-11-01;1;725;954;38;1.096655328798186
2020-11-02;4;729;1271;40;1.0654115707022125
2020-11-03;3;732;1256;41;1.0480225988700564
2020-11-04;5;737;1241;52;1.0448340471092077
2020-11-05;3;740;1028;48;0.9931506849315068
2020-11-06;4;744;959;32;0.9742035341158262
2020-11-07;1;745;844;29;0.9415992812219227
2020-11-08;4;749;737;39;0.9104649673370052
2020-11-09;4;753;1043;56;0.8985035783994795
2020-11-10;2;755;1053;37;0.893949424069906
2020-11-11;1;756;1088;49;0.9236641221374046
2020-11-12;1;757;1052;34;0.9798818232976927
2020-11-13;1;758;1148;39;1.0375090514120202
2020-11-14;5;763;1043;34;1.0983412322274881
2020-11-15;3;766;989;32;1.1251475796930341
2020-11-16;4;770;1251;50;1.1340990667623834
2020-11-17;3;773;1328;63;1.1363763260748185
2020-11-18;5;778;1330;46;1.1205501618122977
2020-11-19;3;781;1221;42;1.099685204616999
2020-11-20;4;785;1222;42;1.0560830484871502
2020-11-21;5;790;1001;32;1.0271465421938337
2020-11-22;6;796;1009;40;0.9985559566787003
2020-11-23;3;799;1187;48;0.9895038167938931
2020-11-24;6;805;1326;39;0.9924478542315991
2020-11-25;8;813;1313;47;0.994140157856972
2020-11-26;4;817;1255;48;1.012171607616293
2020-11-27;8;825;1308;30;1.03049662487946
2020-11-28;6;831;1151;31;1.0524217900712647
2020-11-29;11;842;1173;34;1.0894983760375316
2020-11-30;7;849;1531;45;1.1243005119657101
2020-12-01;10;859;1712;50;1.1704292899754358
2020-12-02;6;865;1876;54;1.2231148858028233
2020-12-03;11;876;1906;54;1.2549409296676604
2020-12-04;7;883;2017;56;1.263369691835222
2020-12-05;10;893;1715;66;1.272536478113132
2020-12-06;9;902;1976;69;1.3091864502205124
2020-12-07;6;908;2750;90;1.3516628541263418
2020-12-08;7;915;3123;62;1.3978206202849959
2020-12-09;10;925;3189;76;1.4176549124322626
2020-12-10;7;932;3281;100;1.3852494266055047
2020-12-11;7;939;3293;95;1.3473930872876392
2020-12-12;8;947;3088;85;1.312664907651715
2020-12-13;11;958;3166;103;1.2810924602515097
2020-12-14;11;969;3985;126;1.2568944999223883
2020-12-15;16;985;4290;146;1.231352657004831
2020-12-16;14;999;4386;141;1.1794883508451348
2020-12-17;15;1014;3611;147;1.1094486486486486
2020-12-18;11;1025;3130;149;1.0424007903836654
2020-12-19;20;1045;2754;153;0.9654753030719134
2020-12-20;19;1064;2453;128;0.9188194740307526
2020-12-21;19;1083;3099;184;0.8691923916432803
2020-12-22;21;1104;2867;147;0.8288839744096043
2020-12-23;19;1123;3075;152;0.7659799260433174
2020-12-24;22;1145;1472;122;0.7295030139527041
2020-12-25;21;1166;1586;168;0.7729147982062781
2020-12-26;26;1192;2684;144;0.8083758159035686
2020-12-27;29;1221;2184;138;0.8981432360742706
2020-12-28;25;1246;3062;210;0.9556223275164683
2020-12-29;32;1278;2475;144;0.9416918078440474
2020-12-30;28;1306;2768;127;0.9421818824777509
2020-12-31;33;1339;1227;121;0.9215593620791495
2021-01-01;21;1360;1202;150;0.9044624501148869
2021-01-02;33;1393;2040;139;0.8898404288090691
2021-01-03;28;1421;1669;116;0.8668209683473039
2021-01-04;27;1448;2476;158;0.8527752852198436
2021-01-05;21;1469;1923;105;0.8150822302446851
2021-01-06;36;1505;1655;129;0.8688638094578689
2021-01-07;29;1534;1584;139;0.9217002237136466
2021-01-08;26;1560;1425;117;0.8961292747087561
2021-01-09;23;1583;1191;113;0.922244094488189
2021-01-10;36;1619;990;107;0.806040321938003
2021-01-11;25;1644;1347;123;0.7395865956780457
2021-01-12;38;1682;1254;97;0.7466241717688501
2021-01-13;30;1712;1111;106;0.7398612593383138
2021-01-14;29;1741;1001;88;0.7655956500247157
2021-01-15;26;1767;850;99;0.7696379419860259
2021-01-16;31;1798;717;79;0.7811727701640081
2021-01-17;29;1827;674;80;0.7850703209520375
2021-01-18;29;1856;924;124;0.7991993801652892
2021-01-19;39;1895;912;105;0.8048143053645117
2021-01-20;29;1924;773;66;0.819959735404084
2021-01-21;27;1951;852;89;0.8516306844281121
2021-01-22;24;1975;710;81;0.8778477944740669
2021-01-23;26;2001;588;59;0.9008716458725005
2021-01-24;20;2021;512;60;0.8884601894072255
2021-01-25;25;2046;719;73;0.8685724559510968
2021-01-26;20;2066;677;50;0.8444689858273514
2021-01-27;17;2083;530;58;0.8032631379244926
2021-01-28;19;2102;498;51;0.7749703908409001
2021-01-29;19;2121;402;48;0.7648519975160423
2021-01-30;19;2140;357;29;0.7765911072362686
2021-01-31;16;2156;380;41;0.7897968823807274
2021-02-01;13;2169;500;47;0.8020886398369842
2021-02-02;10;2179;482;36;0.8235453315290934
2021-02-03;17;2196;424;32;0.8372158293572832
2021-02-04;14;2210;438;32;0.8926435406698564
2021-02-05;11;2221;404;39;0.9701492537313433
2021-02-06;7;2228;427;21;1.00624383831745
2021-02-07;8;2236;387;30;1.0053637277908145
2021-02-08;13;2249;437;35;0.9963149078726968
2021-02-09;16;2265;457;40;0.9803600654664485
2021-02-10;12;2277;445;36;0.9552580013063358
2021-02-11;9;2286;368;23;0.9456485495165055
2021-02-12;7;2293;315;22;0.9213180901143242
2021-02-13;9;2302;331;33;0.8984974958263773
2021-02-14;5;2307;338;21;0.9066666666666666
2021-02-15;7;2314;398;25;0.9566290550070522
2021-02-16;3;2317;518;19;1.012043795620438
2021-02-17;6;2323;505;22;1.0947603121516165
2021-02-18;9;2332;541;31;1.1644042232277527
2021-02-19;4;2336;457;31;1.1747143383708072
2021-02-20;5;2341;430;24;1.1976199062387307
2021-02-21;5;2346;472;20;1.1900882552613714
2021-02-22;0;2346;583;28;1.1619170984455958
2021-02-23;2;2348;600;24;1.1352368999058675
2021-02-24;7;2355;535;32;1.0882264378199338
2021-02-25;1;2356;537;34;1.0407872219053051
2021-02-26;4;2360;492;26;1.0147714604236344
2021-02-27;4;2364;422;27;1.006080707573245
2021-02-28;3;2367;471;22;1.0094078583287216
2021-03-01;1;2368;591;25;0.9980816662099206
2021-03-02;4;2372;594;37;1.0016478989288657
2021-03-03;3;2375;540;28;0.9865384615384616
2021-03-04;2;2377;481;29;0.9766995614035088
2021-03-05;0;2377;464;23;0.985172981878089
2021-03-06;2;2379;447;40;0.9786125582670688
2021-03-07;2;2381;452;22;0.9949874686716792
2021-03-08;0;2381;595;23;1.0151557676115632
2021-03-09;2;2383;638;33;1.0072463768115942
2021-03-10;3;2386;537;30;1.0403474362566545
2021-03-11;3;2389;580;29;1.0433809123985447
2021-03-12;2;2391;479;16;1.0345590268178049
2021-03-13;1;2392;461;31;1.044825677919203
2021-03-14;2;2394;486;25;1.0274710476703475
2021-03-15;2;2396;634;25;1.050697424892704
2021-03-16;0;2396;740;35;1.0793693212185997
2021-03-17;2;2398;659;28;1.0865995762711864
2021-03-18;0;2398;644;26;1.1174311926605505
2021-03-19;3;2401;639;18;1.1179474087311718
2021-03-20;0;2401;577;21;1.1027482050012378
2021-03-21;1;2402;561;31;1.119912259322447
2021-03-22;1;2403;775;42;1.092188599577762
2021-03-23;1;2404;801;24;1.0904316053893583
2021-03-24;8;2412;778;29;1.0700493938033229
2021-03-25;0;2412;635;40;1.049183895538629
2021-03-26;2;2414;694;33;1.0551975945017182
2021-03-27;1;2415;669;37;1.0391623036649216
2021-03-28;0;2415;610;33;1.0386067981535878
2021-03-29;1;2416;763;51;0.9991702966189587
2021-03-30;3;2419;668;35;0.9615306330144514
2021-03-31;4;2423;685;45;0.9663442160419186
2021-04-01;1;2424;706;34;0.9391919191919192
2021-04-02;4;2428;548;31;0.9333610130786797
2021-04-03;1;2429;516;30;0.9197713801862828
2021-04-04;1;2430;459;28;0.8619395203336809
2021-04-05;3;2433;551;24;0.894816089481609
2021-04-06;1;2434;695;44;0.9294928825622776
2021-04-07;1;2435;704;31;0.961795166858458
2021-04-08;2;2437;706;34;1.0515364142269539
2021-04-09;2;2439;715;30;1.0507211538461538
2021-04-10;2;2441;541;28;1.0624551328068916
2021-04-11;3;2444;528;25;1.1093563053362048
2021-04-12;3;2447;747;30;1.0754716981132075
2021-04-13;0;2447;733;33;1.0661175932280942
2021-04-14;2;2449;690;30;1.053828828828829
2021-04-15;2;2451;725;34;1.0060396893874028
2021-04-16;5;2456;700;27;1.0205391527599486
2021-04-17;3;2459;647;33;1.0624463519313305
2021-04-18;3;2462;709;38;1.0816413763624706
2021-04-19;2;2464;857;43;1.1076329331046313
2021-04-20;3;2467;838;37;1.0758909853249476
2021-04-21;4;2471;656;32;1.014340537265199
2021-04-22;3;2474;615;30;0.9753013238490417
2021-04-23;1;2475;614;26;0.9392179636082075
2021-04-24;2;2477;563;30;0.9228371005455963
2021-04-25;1;2478;593;15;0.9241338112305855
2021-04-26;1;2479;762;26;0.9499594813614263
2021-04-27;3;2482;886;40;0.9969084913437758
2021-04-28;2;2484;804;33;1.0586993243243243
2021-04-29;2;2486;792;40;1.1105365223012282
2021-04-30;3;2489;754;22;1.125613137129452
2021-05-01;1;2490;687;25;1.1147405416580525
2021-05-02;1;2491;707;27;1.125847626645393
2021-05-03;0;2491;1015;27;1.1103996895615056
2021-05-04;2;2493;964;26;1.1307313376278894
2021-05-05;1;2494;1049;22;1.122959940652819
2021-05-06;1;2495;879;26;1.0976085031000886
2021-05-07;2;2497;895;38;1.1104315918224708
2021-05-08;0;2497;846;36;1.0794235924932976
2021-05-09;0;2497;794;27;1.0815854665565647
2021-05-10;2;2499;1122;48;1.1095868302130407
2021-05-11;0;2499;1290;22;1.0975609756097562
2021-05-12;0;2499;1149;38;1.0859981372244645
2021-05-13;0;2499;900;37;1.0636738433348603
2021-05-14;3;2502;865;45;1.0266181818181819
2021-05-15;1;2503;938;32;1.0293906810035842
2021-05-16;1;2504;916;32;1.0287307032590052
2021-05-17;1;2505;1139;25;1.012489233419466
2021-05-18;0;2505;1146;26;0.9960328705015585
2021-05-19;1;2506;1126;37;0.9944289693593314
2021-05-20;0;2506;1010;22;0.9854105877448937
2021-05-21;1;2507;817;38;0.9832695306961576
2021-05-22;1;2508;781;23;0.9695590327169274
2021-05-23;1;2509;797;27;0.9149859943977591
2021-05-24;1;2510;856;23;0.9134235758601241
2021-05-25;1;2511;1091;30;0.9433309300648882
2021-05-26;2;2513;1190;28;0.9568661971830986
2021-05-27;1;2514;990;37;1.0134700750038268
2021-05-28;2;2516;916;33;1.0263970361222599
2021-05-29;0;2516;809;26;1.0194130235402017
2021-05-30;0;2516;817;20;1.045538178472861
2021-05-31;0;2516;1006;37;1.030962090318683
2021-06-01;1;2517;1098;28;0.9863137313881787
2021-06-02;0;2517;922;23;0.9470685260158944
2021-06-03;0;2517;748;27;0.8944126704795424
2021-06-04;1;2518;699;21;0.8658072077351304
2021-06-05;0;2518;620;14;0.8589508996645319
2021-06-06;2;2520;540;13;0.8301139962001267
2021-06-07;0;2520;616;26;0.7624200688637481
2021-06-08;0;2520;505;13;0.71082910321489
2021-06-09;3;2523;473;29;0.6868453754660039
2021-06-10;2;2525;416;17;0.6637421323669654
2021-06-11;1;2526;310;12;0.6675268817204301
2021-06-12;0;2526;244;10;0.6641275886693644
2021-06-13;1;2527;226;18;0.6409925045231326
2021-06-14;2;2529;306;18;0.6545977011494253
2021-06-15;0;2529;303;11;0.6736469072164949
2021-06-16;0;2529;286;9;0.6759856630824372
2021-06-17;0;2529;211;7;0.7161290322580646
2021-06-18;1;2530;200;10;0.747585601404741
2021-06-19;1;2531;171;12;0.7814442850310857
2021-06-20;0;2531;157;10;0.8038176033934252
2021-06-21;0;2531;188;6;0.7809684684684685
2021-06-22;0;2531;174;9;0.7651203758073987
2021-06-23;0;2531;202;7;0.7974296205630355
2021-06-24;0;2531;211;8;0.8522427440633246
2021-06-25;1;2532;189;8;0.9120403749098774
2021-06-26;1;2533;144;6;0.9915579432079816
2021-06-27;1;2534;184;4;1.0660015349194167
2021-06-28;1;2535;285;3;1.243034055727554
2021-06-29;0;2535;391;4;1.482213438735178
2021-06-30;0;2535;471;7;1.5859133126934986
2021-07-01;2;2537;385;11;1.6047516198704104
2021-07-02;0;2537;369;6;1.5174346201743463
2021-07-03;0;2537;352;3;1.416
2021-07-04;1;2538;402;4;1.4821864324060516
2021-07-05;0;2538;667;10;1.4777927321668909
2021-07-06;0;2538;648;5;1.4082888797702093
2021-07-07;0;2538;609;7;1.3483992467043315
2021-07-08;0;2538;533;13;1.2413566019097795
2021-07-09;1;2539;559;7;1.2343655130540376
2021-07-10;0;2539;648;7;1.333916083916084
2021-07-11;0;2539;914;12;1.3991620111731844
2021-07-12;0;2539;1098;15;1.4726790450928382
2021-07-13;0;2539;1191;19;1.5066404328578455
2021-07-14;2;2541;1183;15;1.4460463084316295
2021-07-15;1;2542;1027;16;1.3697344779397085
2021-07-16;0;2542;800;15;1.2579250720461095
2021-07-17;0;2542;771;10;1.1062683643486777
2021-07-18;0;2542;707;12;0.9861027190332327
2021-07-19;0;2542;849;18;0.8941845212068211
2021-07-20;1;2543;798;15;0.8224513172966781
2021-07-21;0;2543;792;13;0.7982883281688062
2021-07-22;0;2543;693;14;0.8164828431372549
2021-07-23;0;2543;720;14;0.845476772616137
2021-07-24;0;2543;628;8;0.9127785515320335
2021-07-25;2;2545;763;17;1.000184842883549
2021-07-26;2;2547;1017;17;1.0440900562851783
2021-07-27;0;2547;952;24;1.1069982648930017
2021-07-28;1;2548;969;15;1.129887469006294
2021-07-29;1;2549;875;16;1.114581408242469
2021-07-30;0;2549;827;19;1.1036837376460018
2021-07-31;1;2550;739;11;1.0799373040752351
2021-08-01;0;2550;822;12;1.026333558406482
2021-08-02;0;2550;896;12;0.9940308406566075
2021-08-03;1;2551;867;19;0.9662976229241289
2021-08-04;1;2552;909;14;0.9645218513143041
2021-08-05;0;2552;921;26;0.9963815789473685
2021-08-06;0;2552;904;19;1.0258548790658883
2021-08-07;1;2553;831;21;1.0608256107834877
2021-08-08;1;2554;968;17;1.0825948837986958
2021-08-09;1;2555;1075;27;1.1005282271376693
2021-08-10;2;2557;1059;28;1.0947967479674796
2021-08-11;0;2557;975;31;1.0803684879288438
2021-08-12;3;2560;990;26;1.057915057915058
2021-08-13;1;2561;952;21;1.0248987550622468
2021-08-14;0;2561;814;25;1.0092083766523094
2021-08-15;1;2562;930;30;1.0004410467509557
2021-08-16;1;2563;1085;29;0.9864233576642336
2021-08-17;1;2564;1011;26;0.987560368798478
2021-08-18;1;2565;966;34;0.9961736571008094
2021-08-19;1;2566;1011;32;0.9988243938280676
2021-08-20;1;2567;980;28;0.9976320852449312
2021-08-21;2;2569;758;40;1.0054831061055127
2021-08-22;1;2570;974;34;0.9949771014920963
2021-08-23;2;2572;1035;26;0.9905840812122996
2021-08-24;1;2573;1009;34;0.995846313603323
2021-08-25;1;2574;946;33;0.9895357406042742
2021-08-26;2;2576;1012;27;0.9600593912397921
2021-08-27;3;2579;732;38;0.946234962126838
2021-08-28;2;2581;663;26;0.9182183822434083
2021-08-29;2;2583;767;18;0.8976764968722073
2021-08-30;1;2584;898;40;0.9004021033096196
2021-08-31;0;2584;804;30;0.8769423952283786
2021-09-01;1;2585;711;30;0.836469824789098
2021-09-02;4;2589;581;30;0.822133731541397
2021-09-03;1;2590;531;18;0.8086568189625558
2021-09-04;0;2590;416;25;0.7889744048684446
2021-09-05;2;2592;467;21;0.7942203258339798
2021-09-06;4;2596;585;29;0.7868819374369324
2021-09-07;4;2600;608;31;0.7818606627017842
2021-09-08;6;2606;493;23;0.8132940108892922
2021-09-09;4;2610;485;27;0.8378510378510379
2021-09-10;2;2612;377;18;0.851243908694537
2021-09-11;1;2613;304;11;0.8638956805215974
2021-09-12;2;2615;328;16;0.8368200836820083
2021-09-13;0;2615;405;22;0.7971436898863306
2021-09-14;3;2618;343;11;0.7704127749322085
2021-09-15;3;2621;315;13;0.7465408805031446
2021-09-16;4;2625;302;14;0.7686666666666667
2021-09-17;1;2626;309;12;0.8073126142595978
2021-09-18;3;2629;206;11;0.8404380132968322
2021-09-19;3;2632;269;11;0.8938500421229991
