iteration,random_seed,method,number_cluster,silhouette_score,ch_score,model_specific_score,db_score
2,75,kmeans,2,0.22842023302320943,14515.22306591425,5962.0700036638755,1.6867865548642058
2,75,kmeans,3,0.21114163739300745,14424.66381058615,4920.786458607112,1.435128052050632
2,75,kmeans,4,0.19371815545298615,12629.192797431811,4393.152016939541,1.4925208589311694
2,75,kmeans,5,0.19794122968242692,11743.564926979185,3980.2649387099327,1.4300392792560248
2,75,kmeans,6,0.17400361566751585,10876.18060454815,3709.587430566472,1.5230513663423808
2,75,kmeans,7,0.1778271667288899,10305.902049110739,3460.881772645731,1.4619833127576969
3,134,gmm_full,1,,,-70273.37255017369,
3,134,gmm_full,2,0.21622689830171243,10391.494498311542,-91633.75578824444,1.9680054832313556
3,134,gmm_full,3,0.12189935490668138,8636.084603684063,-94828.78919253017,1.9461640849357238
3,134,gmm_full,4,0.055012227546053,5669.333187199975,-134712.46054258975,3.441964353780407
3,134,gmm_full,5,0.06024336464991515,5466.381120306416,-136072.82899288778,2.826625195505502
3,134,gmm_full,6,0.03286662237095913,4879.867620740901,-138045.37004252945,2.666164258463508
3,134,gmm_full,7,0.018394123184724533,4663.763834759452,-138048.70336385115,2.5579882845315622
3,134,kmeans,1,,,7733.3782829519605,
3,134,kmeans,2,0.22850156470378272,14514.922814378207,5962.061366643169,1.6866770623641394
3,134,kmeans,3,0.2111508448115983,14422.490791492319,4920.7828509797655,1.4354109257150223
3,134,kmeans,4,0.1931791210765973,12625.89594378719,4393.138513432048,1.4858926526999314
3,134,kmeans,5,0.1982713556271254,11743.467178592804,3980.289780792057,1.4288774329187208
3,134,kmeans,6,0.17398828770150762,10876.20088199247,3709.598863972843,1.5230162522120132
3,134,kmeans,7,0.1778023027902093,10306.297959119856,3460.921974384283,1.463000214183491
4,26,gmm_full,1,,,-70273.37255017369,
4,26,gmm_full,2,0.21657964053496676,10384.556360273767,-91636.1370249552,1.9674864150607636
4,26,gmm_full,3,0.12196715406604397,8637.955771428185,-94828.60853638264,1.946188876553265
4,26,gmm_full,4,0.05502536571973468,5670.167687486202,-134711.7578573772,3.4421219244885686
4,26,gmm_full,5,0.060225442362947273,5464.077564591865,-136075.01196461671,2.82847615598677
4,26,gmm_full,6,0.03412366414018219,4935.340664727024,-137925.9120339331,2.637098766096239
4,26,gmm_full,7,0.019489500028611845,4680.40727353566,-137959.80377154896,2.564337737292146
4,26,kmeans,1,,,7733.3782829519605,
4,26,kmeans,2,0.228917820088034,14515.982638545329,5962.060753448703,1.6856617627063522
4,26,kmeans,3,0.21118404014220749,14419.355566607252,4920.790044094647,1.4359950707311375
4,26,kmeans,4,0.1937105867888696,12628.917233899387,4393.145267873522,1.4923253881281286
4,26,kmeans,5,0.1977778271225864,11743.515303201455,3980.2614492619987,1.4309415915483275
4,26,kmeans,6,0.17379900431986164,10874.48303503983,3709.4910845788754,1.5232810858992023
4,26,kmeans,7,0.17777503736822017,10305.951150361687,3460.912209342687,1.4631225199786846
5,55,gmm_full,1,,,-70273.37255017369,
5,55,gmm_full,2,0.2163105895768322,10389.546621631052,-91634.31912817662,1.9679342408476703
5,55,gmm_full,3,0.12200693453510568,8637.390169448436,-94830.20510012796,1.9465057550281166
5,55,gmm_full,4,0.0550823692279854,5673.949945336526,-134709.28366844184,3.4412656405129276
